company,cik,metric_id,source_url,repo_relative_path,content_sha256,accession,document_name,concept_or_section,context_or_dimension,unit,period_start,period_end,value_raw,value_normalized,evidence_quote,extraction_method,parser_version
Marriott International,1048286,D01,https://www.sec.gov/Archives/edgar/data/1048286/000104828626000007/mar-20251231.htm,evidence/request_attempts/c3/c372495ac4ad3e62399040675f490315db137e17cd9a9a4a8c10cb1d09312547/mar-20251231.htm,c372495ac4ad3e62399040675f490315db137e17cd9a9a4a8c10cb1d09312547,0001048286-26-000007,mar-20251231.htm,Item 1A,ITEM_1A:bytes:423629-423659:sha256:dcc3056d8bd47ca0ebe0573e8c74d4af134e3a55c90542427c802d00853635a8,text,2025-01-01,2025-12-31,Risks Relating to Our Industry,Risks Relating to Our Industry,Risks Relating to Our Industry,verbatim_source_excerpt,TEXT_V1
Marriott International,1048286,D01,https://www.sec.gov/Archives/edgar/data/1048286/000104828626000007/mar-20251231.htm,evidence/request_attempts/c3/c372495ac4ad3e62399040675f490315db137e17cd9a9a4a8c10cb1d09312547/mar-20251231.htm,c372495ac4ad3e62399040675f490315db137e17cd9a9a4a8c10cb1d09312547,0001048286-26-000007,mar-20251231.htm,Item 1A,ITEM_1A:bytes:423849-423948:sha256:17bbcc68ea906a630b7416e1ee5f27bffba384a68925daf8dea26c8ff847a1b4,text,2025-01-01,2025-12-31,"Our industry is highly competitive, which may impact our ability to compete successfully for guests","Our industry is highly competitive, which may impact our ability to compete successfully for guests","Our industry is highly competitive, which may impact our ability to compete successfully for guests",verbatim_source_excerpt,TEXT_V1
Marriott International,1048286,D01,https://www.sec.gov/Archives/edgar/data/1048286/000104828626000007/mar-20251231.htm,evidence/request_attempts/c3/c372495ac4ad3e62399040675f490315db137e17cd9a9a4a8c10cb1d09312547/mar-20251231.htm,c372495ac4ad3e62399040675f490315db137e17cd9a9a4a8c10cb1d09312547,0001048286-26-000007,mar-20251231.htm,Item 1A,ITEM_1A:bytes:425580-425788:sha256:08d66c616c0cd0aaaa610bfef9a31357cc8bd78d5c03122ef5e11f6f6c4e01fe,text,2025-01-01,2025-12-31,"Economic and other global, national, and regional conditions and events have in the past materially impacted, and could in the future materially impact, our business, operations, financial results, and growth","Economic and other global, national, and regional conditions and events have in the past materially impacted, and could in the future materially impact, our business, operations, financial results, and growth","Economic and other global, national, and regional conditions and events have in the past materially impacted, and could in the future materially impact, our business, operations, financial results, and growth",verbatim_source_excerpt,TEXT_V1
Marriott International,1048286,D01,https://www.sec.gov/Archives/edgar/data/1048286/000104828626000007/mar-20251231.htm,evidence/request_attempts/c3/c372495ac4ad3e62399040675f490315db137e17cd9a9a4a8c10cb1d09312547/mar-20251231.htm,c372495ac4ad3e62399040675f490315db137e17cd9a9a4a8c10cb1d09312547,0001048286-26-000007,mar-20251231.htm,Item 1A,ITEM_1A:bytes:432587-432617:sha256:0054f721713a7a57f1acfe6e4c99a81823dcd87f6e736cc713085c1475108d58,text,2025-01-01,2025-12-31,Risks Relating to Our Business,Risks Relating to Our Business,Risks Relating to Our Business,verbatim_source_excerpt,TEXT_V1
Marriott International,1048286,D01,https://www.sec.gov/Archives/edgar/data/1048286/000104828626000007/mar-20251231.htm,evidence/request_attempts/c3/c372495ac4ad3e62399040675f490315db137e17cd9a9a4a8c10cb1d09312547/mar-20251231.htm,c372495ac4ad3e62399040675f490315db137e17cd9a9a4a8c10cb1d09312547,0001048286-26-000007,mar-20251231.htm,Item 1A,ITEM_1A:bytes:433022-433127:sha256:3edee5180b9f193e59ed9704a3283f9e5a5d36cd3449ac7ce9c6b58e12d119a2,text,2025-01-01,2025-12-31,Premature termination of our agreements with hotel owners could materially hurt our financial performance,Premature termination of our agreements with hotel owners could materially hurt our financial performance,Premature termination of our agreements with hotel owners could materially hurt our financial performance,verbatim_source_excerpt,TEXT_V1
Marriott International,1048286,D01,https://www.sec.gov/Archives/edgar/data/1048286/000104828626000007/mar-20251231.htm,evidence/request_attempts/c3/c372495ac4ad3e62399040675f490315db137e17cd9a9a4a8c10cb1d09312547/mar-20251231.htm,c372495ac4ad3e62399040675f490315db137e17cd9a9a4a8c10cb1d09312547,0001048286-26-000007,mar-20251231.htm,Item 1A,ITEM_1A:bytes:436048-436185:sha256:d51635e1427d34928d23d817f24813f2faff745539b66b74d46d43029f8913b8,text,2025-01-01,2025-12-31,"Disagreements with hotel owners and other counterparties could materially impact our business, operations, financial results, and growth.","Disagreements with hotel owners and other counterparties could materially impact our business, operations, financial results, and growth.","Disagreements with hotel owners and other counterparties could materially impact our business, operations, financial results, and growth.",verbatim_source_excerpt,TEXT_V1
Marriott International,1048286,D01,https://www.sec.gov/Archives/edgar/data/1048286/000104828626000007/mar-20251231.htm,evidence/request_attempts/c3/c372495ac4ad3e62399040675f490315db137e17cd9a9a4a8c10cb1d09312547/mar-20251231.htm,c372495ac4ad3e62399040675f490315db137e17cd9a9a4a8c10cb1d09312547,0001048286-26-000007,mar-20251231.htm,Item 1A,ITEM_1A:bytes:437537-437614:sha256:2466b81260e65502c909d702f83ec5a867631832561e85489608e6496db5846d,text,2025-01-01,2025-12-31,Changes in the way hotel rooms are booked could adversely impact our business,Changes in the way hotel rooms are booked could adversely impact our business,Changes in the way hotel rooms are booked could adversely impact our business,verbatim_source_excerpt,TEXT_V1
Marriott International,1048286,D01,https://www.sec.gov/Archives/edgar/data/1048286/000104828626000007/mar-20251231.htm,evidence/request_attempts/c3/c372495ac4ad3e62399040675f490315db137e17cd9a9a4a8c10cb1d09312547/mar-20251231.htm,c372495ac4ad3e62399040675f490315db137e17cd9a9a4a8c10cb1d09312547,0001048286-26-000007,mar-20251231.htm,Item 1A,ITEM_1A:bytes:440132-440333:sha256:690f3e34cec6863c64e5eb6ada1dd481ca3831ee70274044f91da3c5b01705d9,text,2025-01-01,2025-12-31,"Our growth strategy depends upon attracting hotel owners to our platform, and future arrangements with these third parties may be less favorable to us, depending on the terms offered by our competitors","Our growth strategy depends upon attracting hotel owners to our platform, and future arrangements with these third parties may be less favorable to us, depending on the terms offered by our competitors","Our growth strategy depends upon attracting hotel owners to our platform, and future arrangements with these third parties may be less favorable to us, depending on the terms offered by our competitors",verbatim_source_excerpt,TEXT_V1
Marriott International,1048286,D01,https://www.sec.gov/Archives/edgar/data/1048286/000104828626000007/mar-20251231.htm,evidence/request_attempts/c3/c372495ac4ad3e62399040675f490315db137e17cd9a9a4a8c10cb1d09312547/mar-20251231.htm,c372495ac4ad3e62399040675f490315db137e17cd9a9a4a8c10cb1d09312547,0001048286-26-000007,mar-20251231.htm,Item 1A,ITEM_1A:bytes:441469-441700:sha256:f05f97815828f911bc5ecb12eff634fa16deb607a0326bdd0b6b4eae7f6f7c83,text,2025-01-01,2025-12-31,"The effects of, or our failure to comply with, applicable laws, regulations, and government policies may disrupt our business, lower our revenues, increase our costs, reduce our profits, limit our growth, or damage our reputation.","The effects of, or our failure to comply with, applicable laws, regulations, and government policies may disrupt our business, lower our revenues, increase our costs, reduce our profits, limit our growth, or damage our reputation.","The effects of, or our failure to comply with, applicable laws, regulations, and government policies may disrupt our business, lower our revenues, increase our costs, reduce our profits, limit our growth, or damage our reputation.",verbatim_source_excerpt,TEXT_V1
Marriott International,1048286,D01,https://www.sec.gov/Archives/edgar/data/1048286/000104828626000007/mar-20251231.htm,evidence/request_attempts/c3/c372495ac4ad3e62399040675f490315db137e17cd9a9a4a8c10cb1d09312547/mar-20251231.htm,c372495ac4ad3e62399040675f490315db137e17cd9a9a4a8c10cb1d09312547,0001048286-26-000007,mar-20251231.htm,Item 1A,ITEM_1A:bytes:445128-445435:sha256:3135a037e4ed899f8f169b63d577f93b1514ef7cdea5cbe7d156cdc150d441af,text,2025-01-01,2025-12-31,Third-party claims that we infringe the intellectual property rights of others or our failure to defend our own intellectual property rights could materially adversely affect our business.,Third-party claims that we infringe the intellectual property rights of others or our failure to defend our own intellectual property rights could materially adversely affect our business.,Third-party claims that we infringe the intellectual property rights of others or our failure to defend our own intellectual property rights could materially adversely affect our business.,verbatim_source_excerpt,TEXT_V1
