producer_id,remaining_metric_scopes,current_symbol_line,origin,production_retirement
scripts/sec_pipeline.py::a04_companyfacts_proxy_note,A04,8040,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::apply_8k_event_metrics_from_events,C04,7453,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::apply_fi_mda_table_metrics,A03 A04 A11 A12,8153,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::auditor_current_filing_candidates,C04,12462,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::auditor_fact_for_accession,C04,12182,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::auditor_facts_for_company,C04,12012,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::build_c03_repair_rows,C03,9956,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::c04_period_start,C04,3810,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::c04_target_filing,C04,3753,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::candidate_fact_hits,A04 B06,3903,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
scripts/sec_pipeline.py::canonical_auditor_name,C04,9761,FROZEN_ISSUE15_INVENTORY_WITH_CURRENT_SYMBOL_LOCATION,NOT_AUTHORIZED_NOT_EXECUTED
