actual_current_control 1 [('CURRENT_COOPERATION', 'SOURCE_REPORTED_FACT', True, True)]
private_background_control 0 [('RECEIVED_PROCESS', 'SEMANTIC_REVIEW_REQUIRED', False, False)]
conditional_same_sentence_control 0 [('CURRENT_COOPERATION', 'SEMANTIC_REVIEW_REQUIRED', False, True)]
historical_quoted_paragraph 1 [('CURRENT_COOPERATION', 'SOURCE_REPORTED_FACT', True, True)]
third_party_quoted_paragraph 1 [('CURRENT_COOPERATION', 'SOURCE_REPORTED_FACT', True, True)]
conditional_quoted_paragraph 1 [('CURRENT_COOPERATION', 'SOURCE_REPORTED_FACT', True, True)]
adjacent_closed_status 1 [('CURRENT_COOPERATION', 'SOURCE_REPORTED_FACT', True, True)]
sec_reports_private_actor 1 [('ISSUED_PROCESS_TO_NAMED_ENTITY', 'SOURCE_REPORTED_FACT', False, True)]
sec_denies_action 1 [('ISSUED_PROCESS_TO_NAMED_ENTITY', 'SOURCE_REPORTED_FACT', False, True)]
government_private_insurer 1 [('RECEIVED_PROCESS', 'SOURCE_REPORTED_FACT', False, True)]
conference_background 1 [('CURRENT_COOPERATION', 'SOURCE_REPORTED_FACT', True, True)]
