company,cik,metric_id,source_url,repo_relative_path,content_sha256,accession,document_name,concept_or_section,context_or_dimension,unit,period_start,period_end,value_raw,value_normalized,evidence_quote,extraction_method,parser_version
Marriott International,1048286,C02,https://www.sec.gov/Archives/edgar/data/1048286/000114036126011590/ny20062722x771_def14a.htm,evidence/accession_materials/marriott_international_1048286_000114036126011590/ny20062722x771_def14a.htm,fca4ce3abc7f769a80642f34b9a9f3f4208fab569bccb7f8b5166b11fe19adbd,0001140361-26-011590,ny20062722x771_def14a.htm,Governance disclosures,GOVERNANCE_DISCLOSURES:bytes:286909-287225:sha256:6d85ab99aee33ac66f7e9867ac6f7780e67160e8b155675560d3673867acc19e,text,2025-01-01,2025-12-31,Debra L. Lee currently serves as the Chair of the Inclusion and Social Impact Committee and as a member of the Nominating and Corporate Governance Committee and the Executive Committee. Ms. Lee announced she will retire from the Board at the conclusion of her term and is not standing for reelection this year.,Debra L. Lee currently serves as the Chair of the Inclusion and Social Impact Committee and as a member of the Nominating and Corporate Governance Committee and the Executive Committee. Ms. Lee announced she will retire from the Board at the conclusion of her term and is not standing for reelection this year.,Debra L. Lee currently serves as the Chair of the Inclusion and Social Impact Committee and as a member of the Nominating and Corporate Governance Committee and the Executive Committee. Ms. Lee announced she will retire from the Board at the conclusion of her term and is not standing for reelection this year.,verbatim_source_excerpt,TEXT_V1
Marriott International,1048286,C02,https://www.sec.gov/Archives/edgar/data/1048286/000114036126011590/ny20062722x771_def14a.htm,evidence/accession_materials/marriott_international_1048286_000114036126011590/ny20062722x771_def14a.htm,fca4ce3abc7f769a80642f34b9a9f3f4208fab569bccb7f8b5166b11fe19adbd,0001140361-26-011590,ny20062722x771_def14a.htm,Governance disclosures,GOVERNANCE_DISCLOSURES:bytes:297476-297973:sha256:a98d2d03eb874bcc3bd7de25535bd44075d3caffbef28015e03682c2a4f2f978,text,2025-01-01,2025-12-31,"There is a strong correlation between our executive pay and Company performance. Our executive compensation program is designed to maintain this alignment, while also protecting the Company against inappropriate risk-taking and conflicts among the interests of the Company, its stockholders, and its executives. With these goals in mind, the Board and its Human Resources and Compensation Committee have implemented an executive compensation program that consists of the following key components:","There is a strong correlation between our executive pay and Company performance. Our executive compensation program is designed to maintain this alignment, while also protecting the Company against inappropriate risk-taking and conflicts among the interests of the Company, its stockholders, and its executives. With these goals in mind, the Board and its Human Resources and Compensation Committee have implemented an executive compensation program that consists of the following key components:","There is a strong correlation between our executive pay and Company performance. Our executive compensation program is designed to maintain this alignment, while also protecting the Company against inappropriate risk-taking and conflicts among the interests of the Company, its stockholders, and its executives. With these goals in mind, the Board and its Human Resources and Compensation Committee have implemented an executive compensation program that consists of the following key components:",verbatim_source_excerpt,TEXT_V1
Marriott International,1048286,C02,https://www.sec.gov/Archives/edgar/data/1048286/000114036126011590/ny20062722x771_def14a.htm,evidence/accession_materials/marriott_international_1048286_000114036126011590/ny20062722x771_def14a.htm,fca4ce3abc7f769a80642f34b9a9f3f4208fab569bccb7f8b5166b11fe19adbd,0001140361-26-011590,ny20062722x771_def14a.htm,Governance disclosures,GOVERNANCE_DISCLOSURES:bytes:316525-316678:sha256:9c8fc5ef84fc3218e84c8f26a2de6082afc01d5e3f2afd9bfa5cc4763ca09ddb,text,2025-01-01,2025-12-31,The Human Resources and Compensation Committee is composed solely of independent members of the Board and retains an independent compensation consultant,The Human Resources and Compensation Committee is composed solely of independent members of the Board and retains an independent compensation consultant,The Human Resources and Compensation Committee is composed solely of independent members of the Board and retains an independent compensation consultant,verbatim_source_excerpt,TEXT_V1
Marriott International,1048286,C02,https://www.sec.gov/Archives/edgar/data/1048286/000114036126011590/ny20062722x771_def14a.htm,evidence/accession_materials/marriott_international_1048286_000114036126011590/ny20062722x771_def14a.htm,fca4ce3abc7f769a80642f34b9a9f3f4208fab569bccb7f8b5166b11fe19adbd,0001140361-26-011590,ny20062722x771_def14a.htm,Governance disclosures,GOVERNANCE_DISCLOSURES:bytes:335055-336042:sha256:ba81a808af7a55c8be908dee3dc9e729356777998414a7f23e6faa452257fa06,text,2025-01-01,2025-12-31,"As previously disclosed and described elsewhere in this proxy statement, Debra L. Lee announced she will retire from the Board at the conclusion of her term and therefore she is not being nominated for reelection as a director. As a result, her term on the Board will end at the 2026 Annual Meeting. Over more than two decades of service, Ms. Lee has helped guide the Company through transformational growth and significant senior leadership transitions while always remaining a steadfast champion of our culture and core values. As an integral member of our Inclusion and Social Impact Committee, and the committee chair since 2008, she has been instrumental in overseeing the Company’s efforts to create access to opportunity and connect people through the power of travel, and as a longstanding member of the Nominating and Corporate Governance Committee she has helped drive the Board’s leadership and composition. We are grateful for her significant contributions.","As previously disclosed and described elsewhere in this proxy statement, Debra L. Lee announced she will retire from the Board at the conclusion of her term and therefore she is not being nominated for reelection as a director. As a result, her term on the Board will end at the 2026 Annual Meeting. Over more than two decades of service, Ms. Lee has helped guide the Company through transformational growth and significant senior leadership transitions while always remaining a steadfast champion of our culture and core values. As an integral member of our Inclusion and Social Impact Committee, and the committee chair since 2008, she has been instrumental in overseeing the Company’s efforts to create access to opportunity and connect people through the power of travel, and as a longstanding member of the Nominating and Corporate Governance Committee she has helped drive the Board’s leadership and composition. We are grateful for her significant contributions.","As previously disclosed and described elsewhere in this proxy statement, Debra L. Lee announced she will retire from the Board at the conclusion of her term and therefore she is not being nominated for reelection as a director. As a result, her term on the Board will end at the 2026 Annual Meeting. Over more than two decades of service, Ms. Lee has helped guide the Company through transformational growth and significant senior leadership transitions while always remaining a steadfast champion of our culture and core values. As an integral member of our Inclusion and Social Impact Committee, and the committee chair since 2008, she has been instrumental in overseeing the Company’s efforts to create access to opportunity and connect people through the power of travel, and as a longstanding member of the Nominating and Corporate Governance Committee she has helped drive the Board’s leadership and composition. We are grateful for her significant contributions.",verbatim_source_excerpt,TEXT_V1
Marriott International,1048286,C02,https://www.sec.gov/Archives/edgar/data/1048286/000114036126011590/ny20062722x771_def14a.htm,evidence/accession_materials/marriott_international_1048286_000114036126011590/ny20062722x771_def14a.htm,fca4ce3abc7f769a80642f34b9a9f3f4208fab569bccb7f8b5166b11fe19adbd,0001140361-26-011590,ny20062722x771_def14a.htm,Governance disclosures,GOVERNANCE_DISCLOSURES:bytes:336557-337476:sha256:034eb9db9b1558696a6629e8341a938434283d44a7f386382966571428328105,text,2025-01-01,2025-12-31,"The Company’s Bylaws prescribe the voting standard for election of directors as a majority of the votes cast in an uncontested election, such as this one, where the number of nominees does not exceed the number of directors to be elected. Under this standard, a nominee must receive more “FOR” votes than “AGAINST” votes in order to be elected as a director. Under the Company’s Governance Principles, if a nominee who already serves as a director is not elected, that nominee shall tender his or her resignation to the Board. The Nominating and Corporate Governance Committee will then recommend to the Board whether to accept or reject the resignation, or whether other action should be taken. Within 90 days of the certification of election results, the Board will determine whether to accept or reject the resignation and will publicly disclose its decision promptly thereafter.","The Company’s Bylaws prescribe the voting standard for election of directors as a majority of the votes cast in an uncontested election, such as this one, where the number of nominees does not exceed the number of directors to be elected. Under this standard, a nominee must receive more “FOR” votes than “AGAINST” votes in order to be elected as a director. Under the Company’s Governance Principles, if a nominee who already serves as a director is not elected, that nominee shall tender his or her resignation to the Board. The Nominating and Corporate Governance Committee will then recommend to the Board whether to accept or reject the resignation, or whether other action should be taken. Within 90 days of the certification of election results, the Board will determine whether to accept or reject the resignation and will publicly disclose its decision promptly thereafter.","The Company’s Bylaws prescribe the voting standard for election of directors as a majority of the votes cast in an uncontested election, such as this one, where the number of nominees does not exceed the number of directors to be elected. Under this standard, a nominee must receive more “FOR” votes than “AGAINST” votes in order to be elected as a director. Under the Company’s Governance Principles, if a nominee who already serves as a director is not elected, that nominee shall tender his or her resignation to the Board. The Nominating and Corporate Governance Committee will then recommend to the Board whether to accept or reject the resignation, or whether other action should be taken. Within 90 days of the certification of election results, the Board will determine whether to accept or reject the resignation and will publicly disclose its decision promptly thereafter.",verbatim_source_excerpt,TEXT_V1
Marriott International,1048286,C02,https://www.sec.gov/Archives/edgar/data/1048286/000114036126011590/ny20062722x771_def14a.htm,evidence/accession_materials/marriott_international_1048286_000114036126011590/ny20062722x771_def14a.htm,fca4ce3abc7f769a80642f34b9a9f3f4208fab569bccb7f8b5166b11fe19adbd,0001140361-26-011590,ny20062722x771_def14a.htm,Governance disclosures,GOVERNANCE_DISCLOSURES:bytes:362946-364292:sha256:775048326f1ab293997794e0bd8a55eba6b375d3863bf2ef8fd946fd77403934,text,2025-01-01,2025-12-31,"Strong Lead Independent Director. Since 2013, the Board has maintained the position of Lead Independent Director. The Lead Independent Director’s responsibilities include presiding at regular executive sessions of the independent directors as well as meetings of the Board at which the Chairman is not present, coordinating the activities of the independent directors, having the authority to convene meetings of the independent directors, and serving as a liaison between the Chairman, the President and CEO and the independent directors. The Lead Independent Director also reviews and approves, in consultation with both the Chairman and the President and CEO, Board meeting agendas and schedules, coordinates the evaluation of Board and committee performance, coordinates the assessment and evaluation of Board candidates, organizes and leads the Board’s annual evaluation of the President and CEO, makes recommendations for changes to the Company’s governance practices, and participates in direct engagement with major stockholders. The Lead Independent Director is a standing member of the Board’s Executive Committee. The Board believes that the role of the Lead Independent Director provides strong Board leadership and appropriate independent oversight. The","Strong Lead Independent Director. Since 2013, the Board has maintained the position of Lead Independent Director. The Lead Independent Director’s responsibilities include presiding at regular executive sessions of the independent directors as well as meetings of the Board at which the Chairman is not present, coordinating the activities of the independent directors, having the authority to convene meetings of the independent directors, and serving as a liaison between the Chairman, the President and CEO and the independent directors. The Lead Independent Director also reviews and approves, in consultation with both the Chairman and the President and CEO, Board meeting agendas and schedules, coordinates the evaluation of Board and committee performance, coordinates the assessment and evaluation of Board candidates, organizes and leads the Board’s annual evaluation of the President and CEO, makes recommendations for changes to the Company’s governance practices, and participates in direct engagement with major stockholders. The Lead Independent Director is a standing member of the Board’s Executive Committee. The Board believes that the role of the Lead Independent Director provides strong Board leadership and appropriate independent oversight. The","Strong Lead Independent Director. Since 2013, the Board has maintained the position of Lead Independent Director. The Lead Independent Director’s responsibilities include presiding at regular executive sessions of the independent directors as well as meetings of the Board at which the Chairman is not present, coordinating the activities of the independent directors, having the authority to convene meetings of the independent directors, and serving as a liaison between the Chairman, the President and CEO and the independent directors. The Lead Independent Director also reviews and approves, in consultation with both the Chairman and the President and CEO, Board meeting agendas and schedules, coordinates the evaluation of Board and committee performance, coordinates the assessment and evaluation of Board candidates, organizes and leads the Board’s annual evaluation of the President and CEO, makes recommendations for changes to the Company’s governance practices, and participates in direct engagement with major stockholders. The Lead Independent Director is a standing member of the Board’s Executive Committee. The Board believes that the role of the Lead Independent Director provides strong Board leadership and appropriate independent oversight. The",verbatim_source_excerpt,TEXT_V1
Marriott International,1048286,C02,https://www.sec.gov/Archives/edgar/data/1048286/000114036126011590/ny20062722x771_def14a.htm,evidence/accession_materials/marriott_international_1048286_000114036126011590/ny20062722x771_def14a.htm,fca4ce3abc7f769a80642f34b9a9f3f4208fab569bccb7f8b5166b11fe19adbd,0001140361-26-011590,ny20062722x771_def14a.htm,Governance disclosures,GOVERNANCE_DISCLOSURES:bytes:368092-368534:sha256:502bf6da4e1df00e585de428f3d1ebf7f9e7ada0f117075d2f6c12f508ef94d7,text,2025-01-01,2025-12-31,"independent directors of the Board appoint the Lead Independent Director annually. Since 2022, the independent directors have selected Mr. Frederick A. “Fritz” Henderson to serve as the Lead Independent Director. Mr. Henderson has served on the Board since 2013 and served as our Audit Committee chair from May 2014 to May 2022, and he has extensive experience serving in a variety of other public company board leadership roles.","independent directors of the Board appoint the Lead Independent Director annually. Since 2022, the independent directors have selected Mr. Frederick A. “Fritz” Henderson to serve as the Lead Independent Director. Mr. Henderson has served on the Board since 2013 and served as our Audit Committee chair from May 2014 to May 2022, and he has extensive experience serving in a variety of other public company board leadership roles.","independent directors of the Board appoint the Lead Independent Director annually. Since 2022, the independent directors have selected Mr. Frederick A. “Fritz” Henderson to serve as the Lead Independent Director. Mr. Henderson has served on the Board since 2013 and served as our Audit Committee chair from May 2014 to May 2022, and he has extensive experience serving in a variety of other public company board leadership roles.",verbatim_source_excerpt,TEXT_V1
Marriott International,1048286,C02,https://www.sec.gov/Archives/edgar/data/1048286/000114036126011590/ny20062722x771_def14a.htm,evidence/accession_materials/marriott_international_1048286_000114036126011590/ny20062722x771_def14a.htm,fca4ce3abc7f769a80642f34b9a9f3f4208fab569bccb7f8b5166b11fe19adbd,0001140361-26-011590,ny20062722x771_def14a.htm,Governance disclosures,GOVERNANCE_DISCLOSURES:bytes:390191-391421:sha256:77d6e2f90835dfeb4084ff93c2a1aeab2ad37ad6f41277d1c0ada448554e722a,text,2025-01-01,2025-12-31,"The Nominating and Corporate Governance Committee evaluates the composition of the Board at least annually to assess whether the skills, experience, characteristics, and other criteria established by the Board are currently represented on the Board as a whole, and by individual directors, and to assess the criteria that may be needed in the future in light of the Company’s anticipated needs. In addition, while the Board does not maintain a formal diversity policy for Board membership, the Board believes that a board comprised of directors with a variety of backgrounds and experiences improves the dialogue and decision-making in the boardroom and contributes to overall board effectiveness. The Board and the Nominating and Corporate Governance Committee seek to achieve a mix of such members, which they define broadly to include, among other things, differences in backgrounds, qualifications, experiences, viewpoints, geographic locations, education, skills and expertise, professional and industry experience, and personal characteristics. The Board believes the current directors, as a group and as individuals, embody such a mix and have the skills and expertise important to oversee our business and strategy.","The Nominating and Corporate Governance Committee evaluates the composition of the Board at least annually to assess whether the skills, experience, characteristics, and other criteria established by the Board are currently represented on the Board as a whole, and by individual directors, and to assess the criteria that may be needed in the future in light of the Company’s anticipated needs. In addition, while the Board does not maintain a formal diversity policy for Board membership, the Board believes that a board comprised of directors with a variety of backgrounds and experiences improves the dialogue and decision-making in the boardroom and contributes to overall board effectiveness. The Board and the Nominating and Corporate Governance Committee seek to achieve a mix of such members, which they define broadly to include, among other things, differences in backgrounds, qualifications, experiences, viewpoints, geographic locations, education, skills and expertise, professional and industry experience, and personal characteristics. The Board believes the current directors, as a group and as individuals, embody such a mix and have the skills and expertise important to oversee our business and strategy.","The Nominating and Corporate Governance Committee evaluates the composition of the Board at least annually to assess whether the skills, experience, characteristics, and other criteria established by the Board are currently represented on the Board as a whole, and by individual directors, and to assess the criteria that may be needed in the future in light of the Company’s anticipated needs. In addition, while the Board does not maintain a formal diversity policy for Board membership, the Board believes that a board comprised of directors with a variety of backgrounds and experiences improves the dialogue and decision-making in the boardroom and contributes to overall board effectiveness. The Board and the Nominating and Corporate Governance Committee seek to achieve a mix of such members, which they define broadly to include, among other things, differences in backgrounds, qualifications, experiences, viewpoints, geographic locations, education, skills and expertise, professional and industry experience, and personal characteristics. The Board believes the current directors, as a group and as individuals, embody such a mix and have the skills and expertise important to oversee our business and strategy.",verbatim_source_excerpt,TEXT_V1
Marriott International,1048286,C02,https://www.sec.gov/Archives/edgar/data/1048286/000114036126011590/ny20062722x771_def14a.htm,evidence/accession_materials/marriott_international_1048286_000114036126011590/ny20062722x771_def14a.htm,fca4ce3abc7f769a80642f34b9a9f3f4208fab569bccb7f8b5166b11fe19adbd,0001140361-26-011590,ny20062722x771_def14a.htm,Governance disclosures,GOVERNANCE_DISCLOSURES:bytes:391834-392058:sha256:75fc7bf311089ed602c43a3e33bfe19176e5e052b99969e1578ce8802e2f0b3c,text,2025-01-01,2025-12-31,"A majority of our director nominees are independent with a mix of short-, medium- and long-term tenure. Five of our 12 director nominees are female and seven are male, and three of our director nominees are people of color.","A majority of our director nominees are independent with a mix of short-, medium- and long-term tenure. Five of our 12 director nominees are female and seven are male, and three of our director nominees are people of color.","A majority of our director nominees are independent with a mix of short-, medium- and long-term tenure. Five of our 12 director nominees are female and seven are male, and three of our director nominees are people of color.",verbatim_source_excerpt,TEXT_V1
Marriott International,1048286,C02,https://www.sec.gov/Archives/edgar/data/1048286/000114036126011590/ny20062722x771_def14a.htm,evidence/accession_materials/marriott_international_1048286_000114036126011590/ny20062722x771_def14a.htm,fca4ce3abc7f769a80642f34b9a9f3f4208fab569bccb7f8b5166b11fe19adbd,0001140361-26-011590,ny20062722x771_def14a.htm,Governance disclosures,GOVERNANCE_DISCLOSURES:bytes:402267-403127:sha256:d49517f374fae9bb7a196319e68e42ed3d987052aa7b222a64da3371293f8898,text,2025-01-01,2025-12-31,"The Nominating and Corporate Governance Committee will consider candidates for Board membership suggested by its members, other Board members, management, and stockholders. As a stockholder, you may recommend any person for consideration as a nominee for director by writing to the Nominating and Corporate Governance Committee of the Board of Directors, c/o Marriott International, Inc., Department 52/862, 7750 Wisconsin Avenue, Bethesda, Maryland 20814. Recommendations must include the name and address of the stockholder making the recommendation, a representation that the stockholder is a holder of record of Class A common stock, biographical information about the individual recommended, and any other information the stockholder believes would be helpful to the Nominating and Corporate Governance Committee in evaluating the individual recommended.","The Nominating and Corporate Governance Committee will consider candidates for Board membership suggested by its members, other Board members, management, and stockholders. As a stockholder, you may recommend any person for consideration as a nominee for director by writing to the Nominating and Corporate Governance Committee of the Board of Directors, c/o Marriott International, Inc., Department 52/862, 7750 Wisconsin Avenue, Bethesda, Maryland 20814. Recommendations must include the name and address of the stockholder making the recommendation, a representation that the stockholder is a holder of record of Class A common stock, biographical information about the individual recommended, and any other information the stockholder believes would be helpful to the Nominating and Corporate Governance Committee in evaluating the individual recommended.","The Nominating and Corporate Governance Committee will consider candidates for Board membership suggested by its members, other Board members, management, and stockholders. As a stockholder, you may recommend any person for consideration as a nominee for director by writing to the Nominating and Corporate Governance Committee of the Board of Directors, c/o Marriott International, Inc., Department 52/862, 7750 Wisconsin Avenue, Bethesda, Maryland 20814. Recommendations must include the name and address of the stockholder making the recommendation, a representation that the stockholder is a holder of record of Class A common stock, biographical information about the individual recommended, and any other information the stockholder believes would be helpful to the Nominating and Corporate Governance Committee in evaluating the individual recommended.",verbatim_source_excerpt,TEXT_V1
