company,applicability,native_quality,native_publication,as_filed_ratio,public_status,public_value,fiscal_year,period_end,candidate_debt_branch,candidate_debt_usd,equity_usd,blockers,nonpositive_equity,accession,source_url,source_sha256,prior_value,prior_status
Marriott International,APPLICABLE,NOT_MEANINGFUL,PUBLISHED,,NOT_MEANINGFUL,,2025,2025-12-31,DIRECT_TOTAL_NO_ADDERS,16204000000,-3771000000,,True,0001048286-26-000007,https://data.sec.gov/api/xbrl/companyfacts/CIK0001048286.json,af2fea717f696acfa6f5f2436aa6e4175c3c56ab1628a2e3198964300f32422a,,NOT_MEANINGFUL
Southwest Airlines,APPLICABLE,EXACT,PUBLISHED,0.6163388046610700413482019797,NEEDS_REVIEW,,2025,2025-12-31,DIRECT_TOTAL_NO_ADDERS,4919000000,7981000000,AMENDED_ANNUAL_REQUIRES_REVIEW,False,0000092380-26-000004,https://data.sec.gov/api/xbrl/companyfacts/CIK0000092380.json,7c2768fa2d6bfc2aee4a9f17ac6e0814434a45623283a8a8da8218ddc6cf678b,0.6163388046610700413482019797,OK
Ford Motor Company,APPLICABLE,NONE,WITHHELD,,NEEDS_REVIEW,,2025,2025-12-31,SAME_FAMILY_CURRENT_NONCURRENT,890000000,35952000000,INDUSTRIAL_VS_FINANCE_SCOPE_REQUIRES_REVIEW; LEASE_ONLY_NOT_TOTAL_DEBT_SCOPE_REVIEW,False,0000037996-26-000015,https://data.sec.gov/api/xbrl/companyfacts/CIK0000037996.json,db9621054cffb365bcb65cde1f53e4161fb26ac56ebf8a95b9066b3d2375203e,,NEEDS_REVIEW
Pfizer,APPLICABLE,NONE,WITHHELD,,NEEDS_REVIEW,,2025,2025-12-31,SAME_FAMILY_CURRENT_NONCURRENT,64638000000,86476000000,SHORT_DEBT_COVERAGE_REQUIRES_REVIEW,False,0000078003-26-000026,https://data.sec.gov/api/xbrl/companyfacts/CIK0000078003.json,bd072131f9dcf001f22e843fded5910c2c7fc178e2a739ce0c58b1934e84d566,0.7474675054350339978722420093,OK
JPMorgan Chase,APPLICABLE,NONE,WITHHELD,,NEEDS_REVIEW,,2025,2025-12-31,DIRECT_TOTAL_NO_ADDERS,435206000000,362438000000,SHORT_DEBT_COVERAGE_REQUIRES_REVIEW,False,0001628280-26-008131,https://data.sec.gov/api/xbrl/companyfacts/CIK0000019617.json,e5a944643b89e809740d810ff200af40e7479e481359cebc062e1869862c9568,,
Salesforce,APPLICABLE,NONE,WITHHELD,,NEEDS_REVIEW,,2025,2026-01-31,SAME_FAMILY_CURRENT_NONCURRENT,14439000000,59142000000,SEPARATE_LEASE_COVERAGE_REQUIRES_REVIEW,False,0001108524-26-000060,https://data.sec.gov/api/xbrl/companyfacts/CIK0001108524.json,07c432de58f0536b73226c24d4baed3edf4ad8718c3f736d3d8d1bd657c55d82,0.2441412194379628690270873491,OK
Lumen Technologies,APPLICABLE,NONE,WITHHELD,,NEEDS_REVIEW,,2025,2025-12-31,DIRECT_TOTAL_NO_ADDERS,17441000000,-1117000000,DIRECT_TOTAL_CONFLICT,True,0000018926-26-000014,https://data.sec.gov/api/xbrl/companyfacts/CIK0000018926.json,256ae4e2b32df840833d7cac21b3c9b12fe4fe850259b93f76970c2b9136a7ca,,NOT_MEANINGFUL
Macy's,APPLICABLE,NONE,WITHHELD,,NEEDS_REVIEW,,2025,2026-01-31,SAME_FAMILY_CURRENT_NONCURRENT,13000000,4860000000,LEASE_ONLY_NOT_TOTAL_DEBT_SCOPE_REVIEW,False,0001628280-26-021721,https://data.sec.gov/api/xbrl/companyfacts/CIK0000794367.json,fccd76252c4f3b7c9e7328082138d0a3d8d49c94cc2d2de2167e881aabae1f55,0.5004115226337448559670781893,OK
Paramount Skydance / Paramount Global,APPLICABLE,EXACT,PUBLISHED,1.168049260241169930727785855,NEEDS_REVIEW,,2025,2025-12-31,DIRECT_TOTAL_NO_ADDERS,13658000000,11693000000,AMENDED_ANNUAL_REQUIRES_REVIEW,False,0002041610-26-000011,https://data.sec.gov/api/xbrl/companyfacts/CIK0002041610.json,19dd254e15903395dc75f8ab9e58822d2737275f9fc93a869a68f5b5fcec52bf,1.168049260241169930727785855,OK
Enphase Energy,APPLICABLE,EXACT,PUBLISHED,1.107959077222837051285943352,OK,1.107959077222837051285943352,2025,2025-12-31,SAME_FAMILY_CURRENT_NONCURRENT,1204377000,1087023000,,False,0001463101-26-000013,https://data.sec.gov/api/xbrl/companyfacts/CIK0001463101.json,ff43e841870f44069d6d009e39a56297c24e8ee277cd9c8a3789fcf9632fc6c3,1.107959077222837051285943352,OK
