company,primary_cik,resolved_cik,entity_role,name,entityType,sic,sicDescription,fiscalYearEnd,tickers,exchanges,formerNames,related_ciks,resolution_status,notes
Marriott International,1048286,0001048286,primary,MARRIOTT INTERNATIONAL INC /MD/,operating,7011,Hotels & Motels,1231,"[""MAR""]","[""Nasdaq""]","[{""name"":""MARRIOTT INTERNATIONAL INC /MD/"",""from"":""1998-04-09T04:00:00.000Z"",""to"":""2026-07-02T04:00:00.000Z""},{""name"":""NEW MARRIOTT MI INC"",""from"":""1998-03-16T05:00:00.000Z"",""to"":""1998-03-20T05:00:00.000Z""}]",,OK,
Southwest Airlines,92380,0000092380,primary,SOUTHWEST AIRLINES CO,operating,4512,"Air Transportation, Scheduled",1231,"[""LUV""]","[""NYSE""]",[],,OK,
Ford Motor Company,37996,0000037996,primary,FORD MOTOR CO,operating,3711,Motor Vehicles & Passenger Car Bodies,1231,"[""F"",""F-PB"",""F-PC"",""F-PD""]","[""NYSE"",""NYSE"",""NYSE"",""NYSE""]",[],,OK,Debt requires Ford Credit / automotive review.
Pfizer,78003,0000078003,primary,PFIZER INC,operating,2834,Pharmaceutical Preparations,1231,"[""PFE""]","[""NYSE""]","[{""name"":""PFIZER INC"",""from"":""1994-03-18T05:00:00.000Z"",""to"":""2026-07-01T04:00:00.000Z""}]",,OK,
JPMorgan Chase,19617,0000019617,primary,JPMORGAN CHASE & CO,operating,6021,National Commercial Banks,1231,"[""JPM"",""JPM-PC"",""AMJB"",""JPM-PD"",""JPM-PJ"",""JPM-PK"",""JPM-PL"",""JPM-PM"",""VYLD""]","[""NYSE"",""NYSE"",""NYSE"",""NYSE"",""NYSE"",""NYSE"",""NYSE"",""NYSE"",""NYSE""]","[{""name"":""JPMORGAN CHASE & CO"",""from"":""2009-02-02T05:00:00.000Z"",""to"":""2026-07-02T04:00:00.000Z""},{""name"":""J P MORGAN CHASE & CO"",""from"":""2001-02-08T05:00:00.000Z"",""to"":""2011-10-06T04:00:00.000Z""},{""name"":""CHASE MANHATTAN CORP /DE/"",""from"":""1996-10-17T04:00:00.000Z"",""to"":""2000-11-21T05:00:00.000Z""},{""name"":""CHEMICAL BANKING CORP"",""from"":""1994-02-02T05:00:00.000Z"",""to"":""1996-03-28T05:00:00.000Z""}]",,OK,Financial institution track; current ratio is structural N/A.
Salesforce,1108524,0001108524,primary,"Salesforce, Inc.",operating,7372,Services-Prepackaged Software,0131,"[""CRM""]","[""NYSE""]","[{""name"":""SALESFORCE.COM, INC."",""from"":""2019-06-14T04:00:00.000Z"",""to"":""2022-03-31T04:00:00.000Z""},{""name"":""SALESFORCE COM INC"",""from"":""2003-12-18T05:00:00.000Z"",""to"":""2019-08-05T04:00:00.000Z""}]",,OK,ARR/churn cannot be replaced by RPO without labeling.
Lumen Technologies,18926,0000018926,primary,"Lumen Technologies, Inc.",operating,4813,Telephone Communications (No Radiotelephone),1231,"[""LUMN""]","[""NYSE""]","[{""name"":""CENTURYLINK, INC"",""from"":""2010-11-09T05:00:00.000Z"",""to"":""2021-01-20T05:00:00.000Z""},{""name"":""CENTURYTEL INC"",""from"":""1999-07-09T04:00:00.000Z"",""to"":""2010-11-08T05:00:00.000Z""},{""name"":""CENTURY TELEPHONE ENTERPRISES INC"",""from"":""1994-01-28T05:00:00.000Z"",""to"":""1999-05-14T04:00:00.000Z""}]",,OK,
Macy's,794367,0000794367,primary,"Macy's, Inc.",operating,5311,Retail-Department Stores,0201,"[""M""]","[""NYSE""]","[{""name"":""FEDERATED DEPARTMENT STORES INC /DE/"",""from"":""1995-05-31T04:00:00.000Z"",""to"":""2007-05-31T04:00:00.000Z""}]",,OK,Use actual reportDate from latest 10-K.
Paramount Skydance / Paramount Global,2041610,0002041610,successor,Paramount Skydance Corp,operating,4833,Television Broadcasting Stations,1231,"[""PSKY""]","[""Nasdaq""]","[{""name"":""New Pluto Global, Inc."",""from"":""2024-11-04T05:00:00.000Z"",""to"":""2025-08-01T04:00:00.000Z""}]",813828,OK,Successor/predecessor relationship; events scan both CIKs; YoY may be not meaningful.
Paramount Skydance / Paramount Global,2041610,0000813828,predecessor,Paramount Global,operating,4833,Television Broadcasting Stations,1231,[],[],"[{""name"":""ViacomCBS Inc."",""from"":""2019-12-04T00:00:00.000Z"",""to"":""2022-02-15T00:00:00.000Z""},{""name"":""CBS CORP"",""from"":""2006-01-09T00:00:00.000Z"",""to"":""2019-12-04T00:00:00.000Z""},{""name"":""VIACOM INC"",""from"":""1994-01-11T00:00:00.000Z"",""to"":""2006-01-05T00:00:00.000Z""}]",2041610,OK,Successor/predecessor relationship; events scan both CIKs; YoY may be not meaningful.
Enphase Energy,1463101,0001463101,primary,"Enphase Energy, Inc.",operating,3674,Semiconductors & Related Devices,1231,"[""ENPH""]","[""Nasdaq""]",[],,OK,Golden standard clean XBRL company.
