company,cik,accession,document_name,source_url,repo_relative_path,content_sha256,namespace,concept,unit,context,dimensions,period_start,period_end,value
Ford Motor Company,37996,0001552781-26-000164,e26003_f-def14a.htm,https://www.sec.gov/Archives/edgar/data/37996/000155278126000164/e26003_f-def14a.htm,evidence/accession_materials/ford_motor_company_37996_000155278126000164/e26003_f-def14a.htm,6c098b3a19c316b1b3ca0da53bce7109c34b226d7093060c366eab519b8b443d,ecd,AdjToCompAmt,USD,From2025-01-012025-12-31_ecd_PeoMember_custom_EquityAwardsAdjustmentsYearEndFairValueOfAwardsGrantedInCurrentYearOptionsMember,,,,
Ford Motor Company,37996,0001552781-26-000164,e26003_f-def14a.htm,https://www.sec.gov/Archives/edgar/data/37996/000155278126000164/e26003_f-def14a.htm,evidence/accession_materials/ford_motor_company_37996_000155278126000164/e26003_f-def14a.htm,6c098b3a19c316b1b3ca0da53bce7109c34b226d7093060c366eab519b8b443d,ecd,AdjToCompAmt,USD,From2025-01-012025-12-31_ecd_PeoMember_custom_EquityAwardsAdjustmentsChangeInFairValueAsOfYearEndOfOutstandingAndUnvestedAwardsGrantedInPriorYearsOptionsMember,,,,
Ford Motor Company,37996,0001552781-26-000164,e26003_f-def14a.htm,https://www.sec.gov/Archives/edgar/data/37996/000155278126000164/e26003_f-def14a.htm,evidence/accession_materials/ford_motor_company_37996_000155278126000164/e26003_f-def14a.htm,6c098b3a19c316b1b3ca0da53bce7109c34b226d7093060c366eab519b8b443d,ecd,AdjToCompAmt,USD,From2025-01-012025-12-31_ecd_PeoMember_custom_EquityAwardsAdjustmentsChangeInFairValueAsOfVestingDateOfPriorYearAwardsVestedDuringCurrentYearOptionsMember,,,,
Ford Motor Company,37996,0001552781-26-000164,e26003_f-def14a.htm,https://www.sec.gov/Archives/edgar/data/37996/000155278126000164/e26003_f-def14a.htm,evidence/accession_materials/ford_motor_company_37996_000155278126000164/e26003_f-def14a.htm,6c098b3a19c316b1b3ca0da53bce7109c34b226d7093060c366eab519b8b443d,ecd,AdjToCompAmt,USD,From2025-01-012025-12-31_ecd_PeoMember_custom_TotalEquityAwardsAdjustmentsOptionsMember,,,,
Ford Motor Company,37996,0001552781-26-000164,e26003_f-def14a.htm,https://www.sec.gov/Archives/edgar/data/37996/000155278126000164/e26003_f-def14a.htm,evidence/accession_materials/ford_motor_company_37996_000155278126000164/e26003_f-def14a.htm,6c098b3a19c316b1b3ca0da53bce7109c34b226d7093060c366eab519b8b443d,ecd,AdjToCompAmt,USD,From2025-01-012025-12-31_ecd_NonPeoNeoMember_custom_EquityAwardsAdjustmentsYearEndFairValueOfAwardsGrantedInCurrentYearOptionsMember,,,,
Ford Motor Company,37996,0001552781-26-000164,e26003_f-def14a.htm,https://www.sec.gov/Archives/edgar/data/37996/000155278126000164/e26003_f-def14a.htm,evidence/accession_materials/ford_motor_company_37996_000155278126000164/e26003_f-def14a.htm,6c098b3a19c316b1b3ca0da53bce7109c34b226d7093060c366eab519b8b443d,ecd,AdjToCompAmt,USD,From2025-01-012025-12-31_ecd_NonPeoNeoMember_custom_EquityAwardsAdjustmentsChangeInFairValueAsOfYearEndOfOutstandingAndUnvestedAwardsGrantedInPriorYearsOptionsMember,,,,
Ford Motor Company,37996,0001552781-26-000164,e26003_f-def14a.htm,https://www.sec.gov/Archives/edgar/data/37996/000155278126000164/e26003_f-def14a.htm,evidence/accession_materials/ford_motor_company_37996_000155278126000164/e26003_f-def14a.htm,6c098b3a19c316b1b3ca0da53bce7109c34b226d7093060c366eab519b8b443d,ecd,AdjToCompAmt,USD,From2025-01-012025-12-31_ecd_NonPeoNeoMember_custom_EquityAwardsAdjustmentsChangeInFairValueAsOfVestingDateOfPriorYearAwardsVestedDuringCurrentYearOptionsMember,,,,
Ford Motor Company,37996,0001552781-26-000164,e26003_f-def14a.htm,https://www.sec.gov/Archives/edgar/data/37996/000155278126000164/e26003_f-def14a.htm,evidence/accession_materials/ford_motor_company_37996_000155278126000164/e26003_f-def14a.htm,6c098b3a19c316b1b3ca0da53bce7109c34b226d7093060c366eab519b8b443d,ecd,AdjToCompAmt,USD,From2025-01-012025-12-31_ecd_NonPeoNeoMember_custom_TotalEquityAwardsAdjustmentsOptionsMember,,,,
Ford Motor Company,37996,0001552781-26-000164,e26003_f-def14a.htm,https://www.sec.gov/Archives/edgar/data/37996/000155278126000164/e26003_f-def14a.htm,evidence/accession_materials/ford_motor_company_37996_000155278126000164/e26003_f-def14a.htm,6c098b3a19c316b1b3ca0da53bce7109c34b226d7093060c366eab519b8b443d,ecd,InsiderTrdPoliciesProcAdoptedFlag,,From2025-01-01to2025-12-31,,2025-01-01,2025-12-31,adopted
Ford Motor Company,37996,0001552781-26-000164,e26003_f-def14a.htm,https://www.sec.gov/Archives/edgar/data/37996/000155278126000164/e26003_f-def14a.htm,evidence/accession_materials/ford_motor_company_37996_000155278126000164/e26003_f-def14a.htm,6c098b3a19c316b1b3ca0da53bce7109c34b226d7093060c366eab519b8b443d,ecd,AwardTmgPredtrmndFlag,,From2025-01-01to2025-12-31,,2025-01-01,2025-12-31,an effective grant date in March
Ford Motor Company,37996,0001552781-26-000164,e26003_f-def14a.htm,https://www.sec.gov/Archives/edgar/data/37996/000155278126000164/e26003_f-def14a.htm,evidence/accession_materials/ford_motor_company_37996_000155278126000164/e26003_f-def14a.htm,6c098b3a19c316b1b3ca0da53bce7109c34b226d7093060c366eab519b8b443d,ecd,AwardTmgMnpiCnsdrdFlag,,From2025-01-01to2025-12-31,,2025-01-01,2025-12-31,not timing equity grants
Ford Motor Company,37996,0001552781-26-000164,e26003_f-def14a.htm,https://www.sec.gov/Archives/edgar/data/37996/000155278126000164/e26003_f-def14a.htm,evidence/accession_materials/ford_motor_company_37996_000155278126000164/e26003_f-def14a.htm,6c098b3a19c316b1b3ca0da53bce7109c34b226d7093060c366eab519b8b443d,ecd,MnpiDiscTimedForCompValFlag,,From2025-01-01to2025-12-31,,2025-01-01,2025-12-31,affect the value of compensation either positively or negatively.
Ford Motor Company,37996,0001552781-26-000164,e26003_f-def14a.htm,https://www.sec.gov/Archives/edgar/data/37996/000155278126000164/e26003_f-def14a.htm,evidence/accession_materials/ford_motor_company_37996_000155278126000164/e26003_f-def14a.htm,6c098b3a19c316b1b3ca0da53bce7109c34b226d7093060c366eab519b8b443d,ecd,PeoName,,From2025-01-01to2025-12-31,,2025-01-01,2025-12-31,"James D. Farley, Jr."
Ford Motor Company,37996,0001552781-26-000164,e26003_f-def14a.htm,https://www.sec.gov/Archives/edgar/data/37996/000155278126000164/e26003_f-def14a.htm,evidence/accession_materials/ford_motor_company_37996_000155278126000164/e26003_f-def14a.htm,6c098b3a19c316b1b3ca0da53bce7109c34b226d7093060c366eab519b8b443d,ecd,CoSelectedMeasureName,,From2025-01-01to2025-12-31,,2025-01-01,2025-12-31,Company Adjusted EBIT Margin
Ford Motor Company,37996,0001552781-26-000164,e26003_f-def14a.htm,https://www.sec.gov/Archives/edgar/data/37996/000155278126000164/e26003_f-def14a.htm,evidence/accession_materials/ford_motor_company_37996_000155278126000164/e26003_f-def14a.htm,6c098b3a19c316b1b3ca0da53bce7109c34b226d7093060c366eab519b8b443d,ecd,PeoTotalCompAmt,iso4217:USD,From2025-01-01to2025-12-31,,2025-01-01,2025-12-31,27519558
Ford Motor Company,37996,0001552781-26-000164,e26003_f-def14a.htm,https://www.sec.gov/Archives/edgar/data/37996/000155278126000164/e26003_f-def14a.htm,evidence/accession_materials/ford_motor_company_37996_000155278126000164/e26003_f-def14a.htm,6c098b3a19c316b1b3ca0da53bce7109c34b226d7093060c366eab519b8b443d,ecd,PeoActuallyPaidCompAmt,iso4217:USD,From2025-01-01to2025-12-31,,2025-01-01,2025-12-31,49214346
Ford Motor Company,37996,0001552781-26-000164,e26003_f-def14a.htm,https://www.sec.gov/Archives/edgar/data/37996/000155278126000164/e26003_f-def14a.htm,evidence/accession_materials/ford_motor_company_37996_000155278126000164/e26003_f-def14a.htm,6c098b3a19c316b1b3ca0da53bce7109c34b226d7093060c366eab519b8b443d,ecd,NonPeoNeoAvgTotalCompAmt,iso4217:USD,From2025-01-01to2025-12-31,,2025-01-01,2025-12-31,14932140
Ford Motor Company,37996,0001552781-26-000164,e26003_f-def14a.htm,https://www.sec.gov/Archives/edgar/data/37996/000155278126000164/e26003_f-def14a.htm,evidence/accession_materials/ford_motor_company_37996_000155278126000164/e26003_f-def14a.htm,6c098b3a19c316b1b3ca0da53bce7109c34b226d7093060c366eab519b8b443d,ecd,NonPeoNeoAvgCompActuallyPaidAmt,iso4217:USD,From2025-01-01to2025-12-31,,2025-01-01,2025-12-31,24411746
Ford Motor Company,37996,0001552781-26-000164,e26003_f-def14a.htm,https://www.sec.gov/Archives/edgar/data/37996/000155278126000164/e26003_f-def14a.htm,evidence/accession_materials/ford_motor_company_37996_000155278126000164/e26003_f-def14a.htm,6c098b3a19c316b1b3ca0da53bce7109c34b226d7093060c366eab519b8b443d,ecd,TotalShareholderRtnAmt,iso4217:USD,From2025-01-01to2025-12-31,,2025-01-01,2025-12-31,197
Ford Motor Company,37996,0001552781-26-000164,e26003_f-def14a.htm,https://www.sec.gov/Archives/edgar/data/37996/000155278126000164/e26003_f-def14a.htm,evidence/accession_materials/ford_motor_company_37996_000155278126000164/e26003_f-def14a.htm,6c098b3a19c316b1b3ca0da53bce7109c34b226d7093060c366eab519b8b443d,ecd,PeerGroupTotalShareholderRtnAmt,iso4217:USD,From2025-01-01to2025-12-31,,2025-01-01,2025-12-31,149
Ford Motor Company,37996,0001552781-26-000164,e26003_f-def14a.htm,https://www.sec.gov/Archives/edgar/data/37996/000155278126000164/e26003_f-def14a.htm,evidence/accession_materials/ford_motor_company_37996_000155278126000164/e26003_f-def14a.htm,6c098b3a19c316b1b3ca0da53bce7109c34b226d7093060c366eab519b8b443d,ecd,CoSelectedMeasureAmt,iso4217:USD,From2025-01-01to2025-12-31,,2025-01-01,2025-12-31,3600000
Ford Motor Company,37996,0001552781-26-000164,e26003_f-def14a.htm,https://www.sec.gov/Archives/edgar/data/37996/000155278126000164/e26003_f-def14a.htm,evidence/accession_materials/ford_motor_company_37996_000155278126000164/e26003_f-def14a.htm,6c098b3a19c316b1b3ca0da53bce7109c34b226d7093060c366eab519b8b443d,ecd,PeoTotalCompAmt,iso4217:USD,From2024-01-012024-12-31,,2024-01-01,2024-12-31,24861866
Ford Motor Company,37996,0001552781-26-000164,e26003_f-def14a.htm,https://www.sec.gov/Archives/edgar/data/37996/000155278126000164/e26003_f-def14a.htm,evidence/accession_materials/ford_motor_company_37996_000155278126000164/e26003_f-def14a.htm,6c098b3a19c316b1b3ca0da53bce7109c34b226d7093060c366eab519b8b443d,ecd,PeoActuallyPaidCompAmt,iso4217:USD,From2024-01-012024-12-31,,2024-01-01,2024-12-31,14223664
Ford Motor Company,37996,0001552781-26-000164,e26003_f-def14a.htm,https://www.sec.gov/Archives/edgar/data/37996/000155278126000164/e26003_f-def14a.htm,evidence/accession_materials/ford_motor_company_37996_000155278126000164/e26003_f-def14a.htm,6c098b3a19c316b1b3ca0da53bce7109c34b226d7093060c366eab519b8b443d,ecd,NonPeoNeoAvgTotalCompAmt,iso4217:USD,From2024-01-012024-12-31,,2024-01-01,2024-12-31,14027714
Ford Motor Company,37996,0001552781-26-000164,e26003_f-def14a.htm,https://www.sec.gov/Archives/edgar/data/37996/000155278126000164/e26003_f-def14a.htm,evidence/accession_materials/ford_motor_company_37996_000155278126000164/e26003_f-def14a.htm,6c098b3a19c316b1b3ca0da53bce7109c34b226d7093060c366eab519b8b443d,ecd,NonPeoNeoAvgCompActuallyPaidAmt,iso4217:USD,From2024-01-012024-12-31,,2024-01-01,2024-12-31,8570838
Ford Motor Company,37996,0001552781-26-000164,e26003_f-def14a.htm,https://www.sec.gov/Archives/edgar/data/37996/000155278126000164/e26003_f-def14a.htm,evidence/accession_materials/ford_motor_company_37996_000155278126000164/e26003_f-def14a.htm,6c098b3a19c316b1b3ca0da53bce7109c34b226d7093060c366eab519b8b443d,ecd,TotalShareholderRtnAmt,iso4217:USD,From2024-01-012024-12-31,,2024-01-01,2024-12-31,138
