company,cik,accession,document_name,source_url,repo_relative_path,content_sha256,namespace,concept,unit,context,dimensions,period_start,period_end,value
JPMorgan Chase,19617,0000019617-26-000096,jpm-20260402.htm,https://www.sec.gov/Archives/edgar/data/19617/000001961726000096/jpm-20260402.htm,evidence/accession_materials/jpmorgan_chase_19617_000001961726000096/jpm-20260402.htm,bea52712a4297691c6844441f3a138bb53d9e8f38278b08b3d3731280c4fc476,ecd,InsiderTrdPoliciesProcAdoptedFlag,,c-1,,2025-01-01,2025-12-31,adopted
JPMorgan Chase,19617,0000019617-26-000096,jpm-20260402.htm,https://www.sec.gov/Archives/edgar/data/19617/000001961726000096/jpm-20260402.htm,evidence/accession_materials/jpmorgan_chase_19617_000001961726000096/jpm-20260402.htm,bea52712a4297691c6844441f3a138bb53d9e8f38278b08b3d3731280c4fc476,ecd,MnpiDiscTimedForCompValFlag,,c-1,,2025-01-01,2025-12-31,do not time
JPMorgan Chase,19617,0000019617-26-000096,jpm-20260402.htm,https://www.sec.gov/Archives/edgar/data/19617/000001961726000096/jpm-20260402.htm,evidence/accession_materials/jpmorgan_chase_19617_000001961726000096/jpm-20260402.htm,bea52712a4297691c6844441f3a138bb53d9e8f38278b08b3d3731280c4fc476,ecd,PeoTotalCompAmt,iso4217:USD,c-1,,2025-01-01,2025-12-31,40632724
JPMorgan Chase,19617,0000019617-26-000096,jpm-20260402.htm,https://www.sec.gov/Archives/edgar/data/19617/000001961726000096/jpm-20260402.htm,evidence/accession_materials/jpmorgan_chase_19617_000001961726000096/jpm-20260402.htm,bea52712a4297691c6844441f3a138bb53d9e8f38278b08b3d3731280c4fc476,ecd,PeoActuallyPaidCompAmt,iso4217:USD,c-1,,2025-01-01,2025-12-31,246827058
JPMorgan Chase,19617,0000019617-26-000096,jpm-20260402.htm,https://www.sec.gov/Archives/edgar/data/19617/000001961726000096/jpm-20260402.htm,evidence/accession_materials/jpmorgan_chase_19617_000001961726000096/jpm-20260402.htm,bea52712a4297691c6844441f3a138bb53d9e8f38278b08b3d3731280c4fc476,ecd,NonPeoNeoAvgTotalCompAmt,iso4217:USD,c-1,,2025-01-01,2025-12-31,25569609
JPMorgan Chase,19617,0000019617-26-000096,jpm-20260402.htm,https://www.sec.gov/Archives/edgar/data/19617/000001961726000096/jpm-20260402.htm,evidence/accession_materials/jpmorgan_chase_19617_000001961726000096/jpm-20260402.htm,bea52712a4297691c6844441f3a138bb53d9e8f38278b08b3d3731280c4fc476,ecd,NonPeoNeoAvgCompActuallyPaidAmt,iso4217:USD,c-1,,2025-01-01,2025-12-31,74899476
JPMorgan Chase,19617,0000019617-26-000096,jpm-20260402.htm,https://www.sec.gov/Archives/edgar/data/19617/000001961726000096/jpm-20260402.htm,evidence/accession_materials/jpmorgan_chase_19617_000001961726000096/jpm-20260402.htm,bea52712a4297691c6844441f3a138bb53d9e8f38278b08b3d3731280c4fc476,ecd,TotalShareholderRtnAmt,iso4217:USD,c-1,,2025-01-01,2025-12-31,289.18
JPMorgan Chase,19617,0000019617-26-000096,jpm-20260402.htm,https://www.sec.gov/Archives/edgar/data/19617/000001961726000096/jpm-20260402.htm,evidence/accession_materials/jpmorgan_chase_19617_000001961726000096/jpm-20260402.htm,bea52712a4297691c6844441f3a138bb53d9e8f38278b08b3d3731280c4fc476,ecd,PeerGroupTotalShareholderRtnAmt,iso4217:USD,c-1,,2025-01-01,2025-12-31,203.21
JPMorgan Chase,19617,0000019617-26-000096,jpm-20260402.htm,https://www.sec.gov/Archives/edgar/data/19617/000001961726000096/jpm-20260402.htm,evidence/accession_materials/jpmorgan_chase_19617_000001961726000096/jpm-20260402.htm,bea52712a4297691c6844441f3a138bb53d9e8f38278b08b3d3731280c4fc476,ecd,CoSelectedMeasureAmt,xbrli:pure,c-1,,2025-01-01,2025-12-31,0.2
JPMorgan Chase,19617,0000019617-26-000096,jpm-20260402.htm,https://www.sec.gov/Archives/edgar/data/19617/000001961726000096/jpm-20260402.htm,evidence/accession_materials/jpmorgan_chase_19617_000001961726000096/jpm-20260402.htm,bea52712a4297691c6844441f3a138bb53d9e8f38278b08b3d3731280c4fc476,ecd,PeoTotalCompAmt,iso4217:USD,c-2,,2024-01-01,2024-12-31,37683462
JPMorgan Chase,19617,0000019617-26-000096,jpm-20260402.htm,https://www.sec.gov/Archives/edgar/data/19617/000001961726000096/jpm-20260402.htm,evidence/accession_materials/jpmorgan_chase_19617_000001961726000096/jpm-20260402.htm,bea52712a4297691c6844441f3a138bb53d9e8f38278b08b3d3731280c4fc476,ecd,PeoActuallyPaidCompAmt,iso4217:USD,c-2,,2024-01-01,2024-12-31,226833211
JPMorgan Chase,19617,0000019617-26-000096,jpm-20260402.htm,https://www.sec.gov/Archives/edgar/data/19617/000001961726000096/jpm-20260402.htm,evidence/accession_materials/jpmorgan_chase_19617_000001961726000096/jpm-20260402.htm,bea52712a4297691c6844441f3a138bb53d9e8f38278b08b3d3731280c4fc476,ecd,NonPeoNeoAvgTotalCompAmt,iso4217:USD,c-2,,2024-01-01,2024-12-31,24383634
JPMorgan Chase,19617,0000019617-26-000096,jpm-20260402.htm,https://www.sec.gov/Archives/edgar/data/19617/000001961726000096/jpm-20260402.htm,evidence/accession_materials/jpmorgan_chase_19617_000001961726000096/jpm-20260402.htm,bea52712a4297691c6844441f3a138bb53d9e8f38278b08b3d3731280c4fc476,ecd,NonPeoNeoAvgCompActuallyPaidAmt,iso4217:USD,c-2,,2024-01-01,2024-12-31,80891387
JPMorgan Chase,19617,0000019617-26-000096,jpm-20260402.htm,https://www.sec.gov/Archives/edgar/data/19617/000001961726000096/jpm-20260402.htm,evidence/accession_materials/jpmorgan_chase_19617_000001961726000096/jpm-20260402.htm,bea52712a4297691c6844441f3a138bb53d9e8f38278b08b3d3731280c4fc476,ecd,TotalShareholderRtnAmt,iso4217:USD,c-2,,2024-01-01,2024-12-31,210.58
JPMorgan Chase,19617,0000019617-26-000096,jpm-20260402.htm,https://www.sec.gov/Archives/edgar/data/19617/000001961726000096/jpm-20260402.htm,evidence/accession_materials/jpmorgan_chase_19617_000001961726000096/jpm-20260402.htm,bea52712a4297691c6844441f3a138bb53d9e8f38278b08b3d3731280c4fc476,ecd,PeerGroupTotalShareholderRtnAmt,iso4217:USD,c-2,,2024-01-01,2024-12-31,176.67
JPMorgan Chase,19617,0000019617-26-000096,jpm-20260402.htm,https://www.sec.gov/Archives/edgar/data/19617/000001961726000096/jpm-20260402.htm,evidence/accession_materials/jpmorgan_chase_19617_000001961726000096/jpm-20260402.htm,bea52712a4297691c6844441f3a138bb53d9e8f38278b08b3d3731280c4fc476,ecd,CoSelectedMeasureAmt,xbrli:pure,c-2,,2024-01-01,2024-12-31,0.22
JPMorgan Chase,19617,0000019617-26-000096,jpm-20260402.htm,https://www.sec.gov/Archives/edgar/data/19617/000001961726000096/jpm-20260402.htm,evidence/accession_materials/jpmorgan_chase_19617_000001961726000096/jpm-20260402.htm,bea52712a4297691c6844441f3a138bb53d9e8f38278b08b3d3731280c4fc476,ecd,PeoTotalCompAmt,iso4217:USD,c-3,,2023-01-01,2023-12-31,35960259
JPMorgan Chase,19617,0000019617-26-000096,jpm-20260402.htm,https://www.sec.gov/Archives/edgar/data/19617/000001961726000096/jpm-20260402.htm,evidence/accession_materials/jpmorgan_chase_19617_000001961726000096/jpm-20260402.htm,bea52712a4297691c6844441f3a138bb53d9e8f38278b08b3d3731280c4fc476,ecd,PeoActuallyPaidCompAmt,iso4217:USD,c-3,,2023-01-01,2023-12-31,104594286
JPMorgan Chase,19617,0000019617-26-000096,jpm-20260402.htm,https://www.sec.gov/Archives/edgar/data/19617/000001961726000096/jpm-20260402.htm,evidence/accession_materials/jpmorgan_chase_19617_000001961726000096/jpm-20260402.htm,bea52712a4297691c6844441f3a138bb53d9e8f38278b08b3d3731280c4fc476,ecd,NonPeoNeoAvgTotalCompAmt,iso4217:USD,c-3,,2023-01-01,2023-12-31,21481873
JPMorgan Chase,19617,0000019617-26-000096,jpm-20260402.htm,https://www.sec.gov/Archives/edgar/data/19617/000001961726000096/jpm-20260402.htm,evidence/accession_materials/jpmorgan_chase_19617_000001961726000096/jpm-20260402.htm,bea52712a4297691c6844441f3a138bb53d9e8f38278b08b3d3731280c4fc476,ecd,NonPeoNeoAvgCompActuallyPaidAmt,iso4217:USD,c-3,,2023-01-01,2023-12-31,41047384
JPMorgan Chase,19617,0000019617-26-000096,jpm-20260402.htm,https://www.sec.gov/Archives/edgar/data/19617/000001961726000096/jpm-20260402.htm,evidence/accession_materials/jpmorgan_chase_19617_000001961726000096/jpm-20260402.htm,bea52712a4297691c6844441f3a138bb53d9e8f38278b08b3d3731280c4fc476,ecd,TotalShareholderRtnAmt,iso4217:USD,c-3,,2023-01-01,2023-12-31,145.96
JPMorgan Chase,19617,0000019617-26-000096,jpm-20260402.htm,https://www.sec.gov/Archives/edgar/data/19617/000001961726000096/jpm-20260402.htm,evidence/accession_materials/jpmorgan_chase_19617_000001961726000096/jpm-20260402.htm,bea52712a4297691c6844441f3a138bb53d9e8f38278b08b3d3731280c4fc476,ecd,PeerGroupTotalShareholderRtnAmt,iso4217:USD,c-3,,2023-01-01,2023-12-31,135.32
JPMorgan Chase,19617,0000019617-26-000096,jpm-20260402.htm,https://www.sec.gov/Archives/edgar/data/19617/000001961726000096/jpm-20260402.htm,evidence/accession_materials/jpmorgan_chase_19617_000001961726000096/jpm-20260402.htm,bea52712a4297691c6844441f3a138bb53d9e8f38278b08b3d3731280c4fc476,ecd,CoSelectedMeasureAmt,xbrli:pure,c-3,,2023-01-01,2023-12-31,0.21
JPMorgan Chase,19617,0000019617-26-000096,jpm-20260402.htm,https://www.sec.gov/Archives/edgar/data/19617/000001961726000096/jpm-20260402.htm,evidence/accession_materials/jpmorgan_chase_19617_000001961726000096/jpm-20260402.htm,bea52712a4297691c6844441f3a138bb53d9e8f38278b08b3d3731280c4fc476,ecd,PeoTotalCompAmt,iso4217:USD,c-4,,2022-01-01,2022-12-31,35610013
JPMorgan Chase,19617,0000019617-26-000096,jpm-20260402.htm,https://www.sec.gov/Archives/edgar/data/19617/000001961726000096/jpm-20260402.htm,evidence/accession_materials/jpmorgan_chase_19617_000001961726000096/jpm-20260402.htm,bea52712a4297691c6844441f3a138bb53d9e8f38278b08b3d3731280c4fc476,ecd,PeoActuallyPaidCompAmt,iso4217:USD,c-4,,2022-01-01,2022-12-31,38222111
JPMorgan Chase,19617,0000019617-26-000096,jpm-20260402.htm,https://www.sec.gov/Archives/edgar/data/19617/000001961726000096/jpm-20260402.htm,evidence/accession_materials/jpmorgan_chase_19617_000001961726000096/jpm-20260402.htm,bea52712a4297691c6844441f3a138bb53d9e8f38278b08b3d3731280c4fc476,ecd,NonPeoNeoAvgTotalCompAmt,iso4217:USD,c-4,,2022-01-01,2022-12-31,19230223
JPMorgan Chase,19617,0000019617-26-000096,jpm-20260402.htm,https://www.sec.gov/Archives/edgar/data/19617/000001961726000096/jpm-20260402.htm,evidence/accession_materials/jpmorgan_chase_19617_000001961726000096/jpm-20260402.htm,bea52712a4297691c6844441f3a138bb53d9e8f38278b08b3d3731280c4fc476,ecd,NonPeoNeoAvgCompActuallyPaidAmt,iso4217:USD,c-4,,2022-01-01,2022-12-31,17207207
JPMorgan Chase,19617,0000019617-26-000096,jpm-20260402.htm,https://www.sec.gov/Archives/edgar/data/19617/000001961726000096/jpm-20260402.htm,evidence/accession_materials/jpmorgan_chase_19617_000001961726000096/jpm-20260402.htm,bea52712a4297691c6844441f3a138bb53d9e8f38278b08b3d3731280c4fc476,ecd,TotalShareholderRtnAmt,iso4217:USD,c-4,,2022-01-01,2022-12-31,111.64
JPMorgan Chase,19617,0000019617-26-000096,jpm-20260402.htm,https://www.sec.gov/Archives/edgar/data/19617/000001961726000096/jpm-20260402.htm,evidence/accession_materials/jpmorgan_chase_19617_000001961726000096/jpm-20260402.htm,bea52712a4297691c6844441f3a138bb53d9e8f38278b08b3d3731280c4fc476,ecd,PeerGroupTotalShareholderRtnAmt,iso4217:USD,c-4,,2022-01-01,2022-12-31,120.66
JPMorgan Chase,19617,0000019617-26-000096,jpm-20260402.htm,https://www.sec.gov/Archives/edgar/data/19617/000001961726000096/jpm-20260402.htm,evidence/accession_materials/jpmorgan_chase_19617_000001961726000096/jpm-20260402.htm,bea52712a4297691c6844441f3a138bb53d9e8f38278b08b3d3731280c4fc476,ecd,CoSelectedMeasureAmt,xbrli:pure,c-4,,2022-01-01,2022-12-31,0.18
JPMorgan Chase,19617,0000019617-26-000096,jpm-20260402.htm,https://www.sec.gov/Archives/edgar/data/19617/000001961726000096/jpm-20260402.htm,evidence/accession_materials/jpmorgan_chase_19617_000001961726000096/jpm-20260402.htm,bea52712a4297691c6844441f3a138bb53d9e8f38278b08b3d3731280c4fc476,ecd,PeoTotalCompAmt,iso4217:USD,c-5,,2021-01-01,2021-12-31,85159860
JPMorgan Chase,19617,0000019617-26-000096,jpm-20260402.htm,https://www.sec.gov/Archives/edgar/data/19617/000001961726000096/jpm-20260402.htm,evidence/accession_materials/jpmorgan_chase_19617_000001961726000096/jpm-20260402.htm,bea52712a4297691c6844441f3a138bb53d9e8f38278b08b3d3731280c4fc476,ecd,PeoActuallyPaidCompAmt,iso4217:USD,c-5,,2021-01-01,2021-12-31,131255455
JPMorgan Chase,19617,0000019617-26-000096,jpm-20260402.htm,https://www.sec.gov/Archives/edgar/data/19617/000001961726000096/jpm-20260402.htm,evidence/accession_materials/jpmorgan_chase_19617_000001961726000096/jpm-20260402.htm,bea52712a4297691c6844441f3a138bb53d9e8f38278b08b3d3731280c4fc476,ecd,NonPeoNeoAvgTotalCompAmt,iso4217:USD,c-5,,2021-01-01,2021-12-31,23472201
