company,cik,accession,document_name,source_url,repo_relative_path,content_sha256,namespace,concept,unit,context,dimensions,period_start,period_end,value
Lumen Technologies,18926,0000018926-26-000024,lumn-20260401.htm,https://www.sec.gov/Archives/edgar/data/18926/000001892626000024/lumn-20260401.htm,evidence/accession_materials/lumen_technologies_18926_000001892626000024/lumn-20260401.htm,240f1713b322a8ffcabc69edf3da935ed704e7163f3b5d064a7eb431e9906038,ecd,AwardTmgPredtrmndFlag,,c-1,,2025-01-01,2025-12-31,The HRCC generally approves annual equity awards under our LTI program during a meeting in the first quarter of each year.
Lumen Technologies,18926,0000018926-26-000024,lumn-20260401.htm,https://www.sec.gov/Archives/edgar/data/18926/000001892626000024/lumn-20260401.htm,evidence/accession_materials/lumen_technologies_18926_000001892626000024/lumn-20260401.htm,240f1713b322a8ffcabc69edf3da935ed704e7163f3b5d064a7eb431e9906038,ecd,AwardTmgMnpiCnsdrdFlag,,c-1,,2025-01-01,2025-12-31,The HRCC does not take material nonpublic information into account when determining the timing and terms of equity awards
Lumen Technologies,18926,0000018926-26-000024,lumn-20260401.htm,https://www.sec.gov/Archives/edgar/data/18926/000001892626000024/lumn-20260401.htm,evidence/accession_materials/lumen_technologies_18926_000001892626000024/lumn-20260401.htm,240f1713b322a8ffcabc69edf3da935ed704e7163f3b5d064a7eb431e9906038,ecd,MnpiDiscTimedForCompValFlag,,c-1,,2025-01-01,2025-12-31,does not time
Lumen Technologies,18926,0000018926-26-000024,lumn-20260401.htm,https://www.sec.gov/Archives/edgar/data/18926/000001892626000024/lumn-20260401.htm,evidence/accession_materials/lumen_technologies_18926_000001892626000024/lumn-20260401.htm,240f1713b322a8ffcabc69edf3da935ed704e7163f3b5d064a7eb431e9906038,ecd,PeoTotalCompAmt,iso4217:USD,c-2,ecd:IndividualAxis=lumn:KathleenJohnsonMember,2025-01-01,2025-12-31,24936641
Lumen Technologies,18926,0000018926-26-000024,lumn-20260401.htm,https://www.sec.gov/Archives/edgar/data/18926/000001892626000024/lumn-20260401.htm,evidence/accession_materials/lumen_technologies_18926_000001892626000024/lumn-20260401.htm,240f1713b322a8ffcabc69edf3da935ed704e7163f3b5d064a7eb431e9906038,ecd,PeoActuallyPaidCompAmt,iso4217:USD,c-2,ecd:IndividualAxis=lumn:KathleenJohnsonMember,2025-01-01,2025-12-31,59356696
Lumen Technologies,18926,0000018926-26-000024,lumn-20260401.htm,https://www.sec.gov/Archives/edgar/data/18926/000001892626000024/lumn-20260401.htm,evidence/accession_materials/lumen_technologies_18926_000001892626000024/lumn-20260401.htm,240f1713b322a8ffcabc69edf3da935ed704e7163f3b5d064a7eb431e9906038,ecd,NonPeoNeoAvgTotalCompAmt,iso4217:USD,c-1,,2025-01-01,2025-12-31,6979760
Lumen Technologies,18926,0000018926-26-000024,lumn-20260401.htm,https://www.sec.gov/Archives/edgar/data/18926/000001892626000024/lumn-20260401.htm,evidence/accession_materials/lumen_technologies_18926_000001892626000024/lumn-20260401.htm,240f1713b322a8ffcabc69edf3da935ed704e7163f3b5d064a7eb431e9906038,ecd,NonPeoNeoAvgCompActuallyPaidAmt,iso4217:USD,c-1,,2025-01-01,2025-12-31,15066691
Lumen Technologies,18926,0000018926-26-000024,lumn-20260401.htm,https://www.sec.gov/Archives/edgar/data/18926/000001892626000024/lumn-20260401.htm,evidence/accession_materials/lumen_technologies_18926_000001892626000024/lumn-20260401.htm,240f1713b322a8ffcabc69edf3da935ed704e7163f3b5d064a7eb431e9906038,ecd,TotalShareholderRtnAmt,iso4217:USD,c-1,,2025-01-01,2025-12-31,91.91
Lumen Technologies,18926,0000018926-26-000024,lumn-20260401.htm,https://www.sec.gov/Archives/edgar/data/18926/000001892626000024/lumn-20260401.htm,evidence/accession_materials/lumen_technologies_18926_000001892626000024/lumn-20260401.htm,240f1713b322a8ffcabc69edf3da935ed704e7163f3b5d064a7eb431e9906038,ecd,PeerGroupTotalShareholderRtnAmt,iso4217:USD,c-1,,2025-01-01,2025-12-31,213.25
Lumen Technologies,18926,0000018926-26-000024,lumn-20260401.htm,https://www.sec.gov/Archives/edgar/data/18926/000001892626000024/lumn-20260401.htm,evidence/accession_materials/lumen_technologies_18926_000001892626000024/lumn-20260401.htm,240f1713b322a8ffcabc69edf3da935ed704e7163f3b5d064a7eb431e9906038,ecd,CoSelectedMeasureAmt,iso4217:USD,c-1,,2025-01-01,2025-12-31,2613000000
Lumen Technologies,18926,0000018926-26-000024,lumn-20260401.htm,https://www.sec.gov/Archives/edgar/data/18926/000001892626000024/lumn-20260401.htm,evidence/accession_materials/lumen_technologies_18926_000001892626000024/lumn-20260401.htm,240f1713b322a8ffcabc69edf3da935ed704e7163f3b5d064a7eb431e9906038,ecd,PeoTotalCompAmt,iso4217:USD,c-3,ecd:IndividualAxis=lumn:KathleenJohnsonMember,2024-01-01,2024-12-31,10499991
Lumen Technologies,18926,0000018926-26-000024,lumn-20260401.htm,https://www.sec.gov/Archives/edgar/data/18926/000001892626000024/lumn-20260401.htm,evidence/accession_materials/lumen_technologies_18926_000001892626000024/lumn-20260401.htm,240f1713b322a8ffcabc69edf3da935ed704e7163f3b5d064a7eb431e9906038,ecd,PeoActuallyPaidCompAmt,iso4217:USD,c-3,ecd:IndividualAxis=lumn:KathleenJohnsonMember,2024-01-01,2024-12-31,32495808
Lumen Technologies,18926,0000018926-26-000024,lumn-20260401.htm,https://www.sec.gov/Archives/edgar/data/18926/000001892626000024/lumn-20260401.htm,evidence/accession_materials/lumen_technologies_18926_000001892626000024/lumn-20260401.htm,240f1713b322a8ffcabc69edf3da935ed704e7163f3b5d064a7eb431e9906038,ecd,NonPeoNeoAvgTotalCompAmt,iso4217:USD,c-4,,2024-01-01,2024-12-31,3707845
Lumen Technologies,18926,0000018926-26-000024,lumn-20260401.htm,https://www.sec.gov/Archives/edgar/data/18926/000001892626000024/lumn-20260401.htm,evidence/accession_materials/lumen_technologies_18926_000001892626000024/lumn-20260401.htm,240f1713b322a8ffcabc69edf3da935ed704e7163f3b5d064a7eb431e9906038,ecd,NonPeoNeoAvgCompActuallyPaidAmt,iso4217:USD,c-4,,2024-01-01,2024-12-31,7297378
Lumen Technologies,18926,0000018926-26-000024,lumn-20260401.htm,https://www.sec.gov/Archives/edgar/data/18926/000001892626000024/lumn-20260401.htm,evidence/accession_materials/lumen_technologies_18926_000001892626000024/lumn-20260401.htm,240f1713b322a8ffcabc69edf3da935ed704e7163f3b5d064a7eb431e9906038,ecd,TotalShareholderRtnAmt,iso4217:USD,c-4,,2024-01-01,2024-12-31,62.81
Lumen Technologies,18926,0000018926-26-000024,lumn-20260401.htm,https://www.sec.gov/Archives/edgar/data/18926/000001892626000024/lumn-20260401.htm,evidence/accession_materials/lumen_technologies_18926_000001892626000024/lumn-20260401.htm,240f1713b322a8ffcabc69edf3da935ed704e7163f3b5d064a7eb431e9906038,ecd,PeerGroupTotalShareholderRtnAmt,iso4217:USD,c-4,,2024-01-01,2024-12-31,159.67
Lumen Technologies,18926,0000018926-26-000024,lumn-20260401.htm,https://www.sec.gov/Archives/edgar/data/18926/000001892626000024/lumn-20260401.htm,evidence/accession_materials/lumen_technologies_18926_000001892626000024/lumn-20260401.htm,240f1713b322a8ffcabc69edf3da935ed704e7163f3b5d064a7eb431e9906038,ecd,CoSelectedMeasureAmt,iso4217:USD,c-4,,2024-01-01,2024-12-31,3445000000
Lumen Technologies,18926,0000018926-26-000024,lumn-20260401.htm,https://www.sec.gov/Archives/edgar/data/18926/000001892626000024/lumn-20260401.htm,evidence/accession_materials/lumen_technologies_18926_000001892626000024/lumn-20260401.htm,240f1713b322a8ffcabc69edf3da935ed704e7163f3b5d064a7eb431e9906038,ecd,PeoTotalCompAmt,iso4217:USD,c-5,ecd:IndividualAxis=lumn:KathleenJohnsonMember,2023-01-01,2023-12-31,9592963
Lumen Technologies,18926,0000018926-26-000024,lumn-20260401.htm,https://www.sec.gov/Archives/edgar/data/18926/000001892626000024/lumn-20260401.htm,evidence/accession_materials/lumen_technologies_18926_000001892626000024/lumn-20260401.htm,240f1713b322a8ffcabc69edf3da935ed704e7163f3b5d064a7eb431e9906038,ecd,PeoActuallyPaidCompAmt,iso4217:USD,c-5,ecd:IndividualAxis=lumn:KathleenJohnsonMember,2023-01-01,2023-12-31,7258427
Lumen Technologies,18926,0000018926-26-000024,lumn-20260401.htm,https://www.sec.gov/Archives/edgar/data/18926/000001892626000024/lumn-20260401.htm,evidence/accession_materials/lumen_technologies_18926_000001892626000024/lumn-20260401.htm,240f1713b322a8ffcabc69edf3da935ed704e7163f3b5d064a7eb431e9906038,ecd,NonPeoNeoAvgTotalCompAmt,iso4217:USD,c-6,,2023-01-01,2023-12-31,3396054
Lumen Technologies,18926,0000018926-26-000024,lumn-20260401.htm,https://www.sec.gov/Archives/edgar/data/18926/000001892626000024/lumn-20260401.htm,evidence/accession_materials/lumen_technologies_18926_000001892626000024/lumn-20260401.htm,240f1713b322a8ffcabc69edf3da935ed704e7163f3b5d064a7eb431e9906038,ecd,NonPeoNeoAvgCompActuallyPaidAmt,iso4217:USD,c-6,,2023-01-01,2023-12-31,1846687
Lumen Technologies,18926,0000018926-26-000024,lumn-20260401.htm,https://www.sec.gov/Archives/edgar/data/18926/000001892626000024/lumn-20260401.htm,evidence/accession_materials/lumen_technologies_18926_000001892626000024/lumn-20260401.htm,240f1713b322a8ffcabc69edf3da935ed704e7163f3b5d064a7eb431e9906038,ecd,TotalShareholderRtnAmt,iso4217:USD,c-6,,2023-01-01,2023-12-31,21.65
Lumen Technologies,18926,0000018926-26-000024,lumn-20260401.htm,https://www.sec.gov/Archives/edgar/data/18926/000001892626000024/lumn-20260401.htm,evidence/accession_materials/lumen_technologies_18926_000001892626000024/lumn-20260401.htm,240f1713b322a8ffcabc69edf3da935ed704e7163f3b5d064a7eb431e9906038,ecd,PeerGroupTotalShareholderRtnAmt,iso4217:USD,c-6,,2023-01-01,2023-12-31,113.86
Lumen Technologies,18926,0000018926-26-000024,lumn-20260401.htm,https://www.sec.gov/Archives/edgar/data/18926/000001892626000024/lumn-20260401.htm,evidence/accession_materials/lumen_technologies_18926_000001892626000024/lumn-20260401.htm,240f1713b322a8ffcabc69edf3da935ed704e7163f3b5d064a7eb431e9906038,ecd,CoSelectedMeasureAmt,iso4217:USD,c-6,,2023-01-01,2023-12-31,4146000000
