company,cik,accession,document_name,source_url,repo_relative_path,content_sha256,namespace,concept,unit,context,dimensions,period_start,period_end,value
Macy's,794367,0001104659-26-037752,m-20260515xdef14a.htm,https://www.sec.gov/Archives/edgar/data/794367/000110465926037752/m-20260515xdef14a.htm,evidence/accession_materials/macy_s_794367_000110465926037752/m-20260515xdef14a.htm,3b501eec7b59a3dabbe9da4a206a6b3e61469c426650f9c16432c03e66703d06,ecd,InsiderTrdPoliciesProcAdoptedFlag,,Duration_2_2_2025_To_1_31_2026_sPBYRQnOqUKPPjB7O-DmsQ,,2025-02-02,2026-01-31,"We have adopted the Macy’s, Inc. Insider Trading Policy and procedures"
Macy's,794367,0001104659-26-037752,m-20260515xdef14a.htm,https://www.sec.gov/Archives/edgar/data/794367/000110465926037752/m-20260515xdef14a.htm,evidence/accession_materials/macy_s_794367_000110465926037752/m-20260515xdef14a.htm,3b501eec7b59a3dabbe9da4a206a6b3e61469c426650f9c16432c03e66703d06,ecd,AwardTmgMethodTextBlock,,Duration_2_2_2025_To_1_31_2026_sPBYRQnOqUKPPjB7O-DmsQ,,2025-02-02,2026-01-31,"The CMD Committee typically approves annual equity-based awards at its annual March meeting. The March meeting occurs after annual financial results are available — at least three weeks after we release our fiscal year-end earnings. The CMD Committee may approve equity-based grants on other dates for purposes such as newly hired executives, executives promoted into positions eligible for such grants, or to retain executives important to the Company."
Macy's,794367,0001104659-26-037752,m-20260515xdef14a.htm,https://www.sec.gov/Archives/edgar/data/794367/000110465926037752/m-20260515xdef14a.htm,evidence/accession_materials/macy_s_794367_000110465926037752/m-20260515xdef14a.htm,3b501eec7b59a3dabbe9da4a206a6b3e61469c426650f9c16432c03e66703d06,ecd,AwardTmgPredtrmndFlag,,Duration_2_2_2025_To_1_31_2026_sPBYRQnOqUKPPjB7O-DmsQ,,2025-02-02,2026-01-31,"determines a specific calendar of trading blackout dates each year, and equity-based awards"
Macy's,794367,0001104659-26-037752,m-20260515xdef14a.htm,https://www.sec.gov/Archives/edgar/data/794367/000110465926037752/m-20260515xdef14a.htm,evidence/accession_materials/macy_s_794367_000110465926037752/m-20260515xdef14a.htm,3b501eec7b59a3dabbe9da4a206a6b3e61469c426650f9c16432c03e66703d06,ecd,MnpiDiscTimedForCompValFlag,,Duration_2_2_2025_To_1_31_2026_sPBYRQnOqUKPPjB7O-DmsQ,,2025-02-02,2026-01-31,not timed
Macy's,794367,0001104659-26-037752,m-20260515xdef14a.htm,https://www.sec.gov/Archives/edgar/data/794367/000110465926037752/m-20260515xdef14a.htm,evidence/accession_materials/macy_s_794367_000110465926037752/m-20260515xdef14a.htm,3b501eec7b59a3dabbe9da4a206a6b3e61469c426650f9c16432c03e66703d06,ecd,PeoTotalCompAmt,iso4217:USD,Duration_2_2_2025_To_1_31_2026_sPBYRQnOqUKPPjB7O-DmsQ,,2025-02-02,2026-01-31,14104067
Macy's,794367,0001104659-26-037752,m-20260515xdef14a.htm,https://www.sec.gov/Archives/edgar/data/794367/000110465926037752/m-20260515xdef14a.htm,evidence/accession_materials/macy_s_794367_000110465926037752/m-20260515xdef14a.htm,3b501eec7b59a3dabbe9da4a206a6b3e61469c426650f9c16432c03e66703d06,ecd,PeoActuallyPaidCompAmt,iso4217:USD,Duration_2_2_2025_To_1_31_2026_sPBYRQnOqUKPPjB7O-DmsQ,,2025-02-02,2026-01-31,20520165
Macy's,794367,0001104659-26-037752,m-20260515xdef14a.htm,https://www.sec.gov/Archives/edgar/data/794367/000110465926037752/m-20260515xdef14a.htm,evidence/accession_materials/macy_s_794367_000110465926037752/m-20260515xdef14a.htm,3b501eec7b59a3dabbe9da4a206a6b3e61469c426650f9c16432c03e66703d06,ecd,NonPeoNeoAvgTotalCompAmt,iso4217:USD,Duration_2_2_2025_To_1_31_2026_sPBYRQnOqUKPPjB7O-DmsQ,,2025-02-02,2026-01-31,4872290
Macy's,794367,0001104659-26-037752,m-20260515xdef14a.htm,https://www.sec.gov/Archives/edgar/data/794367/000110465926037752/m-20260515xdef14a.htm,evidence/accession_materials/macy_s_794367_000110465926037752/m-20260515xdef14a.htm,3b501eec7b59a3dabbe9da4a206a6b3e61469c426650f9c16432c03e66703d06,ecd,NonPeoNeoAvgCompActuallyPaidAmt,iso4217:USD,Duration_2_2_2025_To_1_31_2026_sPBYRQnOqUKPPjB7O-DmsQ,,2025-02-02,2026-01-31,6811096
Macy's,794367,0001104659-26-037752,m-20260515xdef14a.htm,https://www.sec.gov/Archives/edgar/data/794367/000110465926037752/m-20260515xdef14a.htm,evidence/accession_materials/macy_s_794367_000110465926037752/m-20260515xdef14a.htm,3b501eec7b59a3dabbe9da4a206a6b3e61469c426650f9c16432c03e66703d06,ecd,TotalShareholderRtnAmt,iso4217:USD,Duration_2_2_2025_To_1_31_2026_sPBYRQnOqUKPPjB7O-DmsQ,,2025-02-02,2026-01-31,156.83
Macy's,794367,0001104659-26-037752,m-20260515xdef14a.htm,https://www.sec.gov/Archives/edgar/data/794367/000110465926037752/m-20260515xdef14a.htm,evidence/accession_materials/macy_s_794367_000110465926037752/m-20260515xdef14a.htm,3b501eec7b59a3dabbe9da4a206a6b3e61469c426650f9c16432c03e66703d06,ecd,PeerGroupTotalShareholderRtnAmt,iso4217:USD,Duration_2_2_2025_To_1_31_2026_sPBYRQnOqUKPPjB7O-DmsQ,,2025-02-02,2026-01-31,220.77
Macy's,794367,0001104659-26-037752,m-20260515xdef14a.htm,https://www.sec.gov/Archives/edgar/data/794367/000110465926037752/m-20260515xdef14a.htm,evidence/accession_materials/macy_s_794367_000110465926037752/m-20260515xdef14a.htm,3b501eec7b59a3dabbe9da4a206a6b3e61469c426650f9c16432c03e66703d06,ecd,CoSelectedMeasureAmt,iso4217:USD,Duration_2_2_2025_To_1_31_2026_sPBYRQnOqUKPPjB7O-DmsQ,,2025-02-02,2026-01-31,1842000000
Macy's,794367,0001104659-26-037752,m-20260515xdef14a.htm,https://www.sec.gov/Archives/edgar/data/794367/000110465926037752/m-20260515xdef14a.htm,evidence/accession_materials/macy_s_794367_000110465926037752/m-20260515xdef14a.htm,3b501eec7b59a3dabbe9da4a206a6b3e61469c426650f9c16432c03e66703d06,ecd,PeoTotalCompAmt,iso4217:USD,Duration_2_4_2024_To_2_1_2025_9ic44fmiLE-bZPDAW9EFJw,,2024-02-04,2025-02-01,16452108
Macy's,794367,0001104659-26-037752,m-20260515xdef14a.htm,https://www.sec.gov/Archives/edgar/data/794367/000110465926037752/m-20260515xdef14a.htm,evidence/accession_materials/macy_s_794367_000110465926037752/m-20260515xdef14a.htm,3b501eec7b59a3dabbe9da4a206a6b3e61469c426650f9c16432c03e66703d06,ecd,PeoActuallyPaidCompAmt,iso4217:USD,Duration_2_4_2024_To_2_1_2025_9ic44fmiLE-bZPDAW9EFJw,,2024-02-04,2025-02-01,12081365
Macy's,794367,0001104659-26-037752,m-20260515xdef14a.htm,https://www.sec.gov/Archives/edgar/data/794367/000110465926037752/m-20260515xdef14a.htm,evidence/accession_materials/macy_s_794367_000110465926037752/m-20260515xdef14a.htm,3b501eec7b59a3dabbe9da4a206a6b3e61469c426650f9c16432c03e66703d06,ecd,NonPeoNeoAvgTotalCompAmt,iso4217:USD,Duration_2_4_2024_To_2_1_2025_9ic44fmiLE-bZPDAW9EFJw,,2024-02-04,2025-02-01,3560945
Macy's,794367,0001104659-26-037752,m-20260515xdef14a.htm,https://www.sec.gov/Archives/edgar/data/794367/000110465926037752/m-20260515xdef14a.htm,evidence/accession_materials/macy_s_794367_000110465926037752/m-20260515xdef14a.htm,3b501eec7b59a3dabbe9da4a206a6b3e61469c426650f9c16432c03e66703d06,ecd,NonPeoNeoAvgCompActuallyPaidAmt,iso4217:USD,Duration_2_4_2024_To_2_1_2025_9ic44fmiLE-bZPDAW9EFJw,,2024-02-04,2025-02-01,2521885
Macy's,794367,0001104659-26-037752,m-20260515xdef14a.htm,https://www.sec.gov/Archives/edgar/data/794367/000110465926037752/m-20260515xdef14a.htm,evidence/accession_materials/macy_s_794367_000110465926037752/m-20260515xdef14a.htm,3b501eec7b59a3dabbe9da4a206a6b3e61469c426650f9c16432c03e66703d06,ecd,TotalShareholderRtnAmt,iso4217:USD,Duration_2_4_2024_To_2_1_2025_9ic44fmiLE-bZPDAW9EFJw,,2024-02-04,2025-02-01,116.33
