company,cik,accession,document_name,source_url,repo_relative_path,content_sha256,namespace,concept,unit,context,dimensions,period_start,period_end,value
Southwest Airlines,92380,0001193125-26-127237,d121727ddef14a.htm,https://www.sec.gov/Archives/edgar/data/92380/000119312526127237/d121727ddef14a.htm,evidence/accession_materials/southwest_airlines_92380_000119312526127237/d121727ddef14a.htm,f9fe5ceb34c9f1620007de3eecbf97a58c808241c1c4c769af3b2060a72723c9,ecd,InsiderTrdPoliciesProcAdoptedFlag,,P01_01_2025To12_31_2025,,2025-01-01,2025-12-31,adopted
Southwest Airlines,92380,0001193125-26-127237,d121727ddef14a.htm,https://www.sec.gov/Archives/edgar/data/92380/000119312526127237/d121727ddef14a.htm,evidence/accession_materials/southwest_airlines_92380_000119312526127237/d121727ddef14a.htm,f9fe5ceb34c9f1620007de3eecbf97a58c808241c1c4c769af3b2060a72723c9,ecd,AwardTmgPredtrmndFlag,,P01_01_2025To12_31_2025,,2025-01-01,2025-12-31,determining
Southwest Airlines,92380,0001193125-26-127237,d121727ddef14a.htm,https://www.sec.gov/Archives/edgar/data/92380/000119312526127237/d121727ddef14a.htm,evidence/accession_materials/southwest_airlines_92380_000119312526127237/d121727ddef14a.htm,f9fe5ceb34c9f1620007de3eecbf97a58c808241c1c4c769af3b2060a72723c9,ecd,AwardTmgMnpiCnsdrdFlag,,P01_01_2025To12_31_2025,,2025-01-01,2025-12-31,not
Southwest Airlines,92380,0001193125-26-127237,d121727ddef14a.htm,https://www.sec.gov/Archives/edgar/data/92380/000119312526127237/d121727ddef14a.htm,evidence/accession_materials/southwest_airlines_92380_000119312526127237/d121727ddef14a.htm,f9fe5ceb34c9f1620007de3eecbf97a58c808241c1c4c769af3b2060a72723c9,ecd,MnpiDiscTimedForCompValFlag,,P01_01_2025To12_31_2025,,2025-01-01,2025-12-31,not time
Southwest Airlines,92380,0001193125-26-127237,d121727ddef14a.htm,https://www.sec.gov/Archives/edgar/data/92380/000119312526127237/d121727ddef14a.htm,evidence/accession_materials/southwest_airlines_92380_000119312526127237/d121727ddef14a.htm,f9fe5ceb34c9f1620007de3eecbf97a58c808241c1c4c769af3b2060a72723c9,ecd,PeoTotalCompAmt,iso4217:USD,P01_01_2025To12_31_2025_GaryCKellyMemberecdIndividualAxis,ecd:IndividualAxis=luv:GaryC.KellyMember,2025-01-01,2025-12-31,—
Southwest Airlines,92380,0001193125-26-127237,d121727ddef14a.htm,https://www.sec.gov/Archives/edgar/data/92380/000119312526127237/d121727ddef14a.htm,evidence/accession_materials/southwest_airlines_92380_000119312526127237/d121727ddef14a.htm,f9fe5ceb34c9f1620007de3eecbf97a58c808241c1c4c769af3b2060a72723c9,ecd,PeoTotalCompAmt,iso4217:USD,P01_01_2025To12_31_2025_RobertEJordanMemberecdIndividualAxis,ecd:IndividualAxis=luv:RobertE.JordanMember,2025-01-01,2025-12-31,16587882
Southwest Airlines,92380,0001193125-26-127237,d121727ddef14a.htm,https://www.sec.gov/Archives/edgar/data/92380/000119312526127237/d121727ddef14a.htm,evidence/accession_materials/southwest_airlines_92380_000119312526127237/d121727ddef14a.htm,f9fe5ceb34c9f1620007de3eecbf97a58c808241c1c4c769af3b2060a72723c9,ecd,PeoActuallyPaidCompAmt,iso4217:USD,P01_01_2025To12_31_2025_GaryCKellyMemberecdIndividualAxis,ecd:IndividualAxis=luv:GaryC.KellyMember,2025-01-01,2025-12-31,—
Southwest Airlines,92380,0001193125-26-127237,d121727ddef14a.htm,https://www.sec.gov/Archives/edgar/data/92380/000119312526127237/d121727ddef14a.htm,evidence/accession_materials/southwest_airlines_92380_000119312526127237/d121727ddef14a.htm,f9fe5ceb34c9f1620007de3eecbf97a58c808241c1c4c769af3b2060a72723c9,ecd,PeoActuallyPaidCompAmt,iso4217:USD,P01_01_2025To12_31_2025_RobertEJordanMemberecdIndividualAxis,ecd:IndividualAxis=luv:RobertE.JordanMember,2025-01-01,2025-12-31,21865552
Southwest Airlines,92380,0001193125-26-127237,d121727ddef14a.htm,https://www.sec.gov/Archives/edgar/data/92380/000119312526127237/d121727ddef14a.htm,evidence/accession_materials/southwest_airlines_92380_000119312526127237/d121727ddef14a.htm,f9fe5ceb34c9f1620007de3eecbf97a58c808241c1c4c769af3b2060a72723c9,ecd,NonPeoNeoAvgTotalCompAmt,iso4217:USD,P01_01_2025To12_31_2025,,2025-01-01,2025-12-31,6642907
Southwest Airlines,92380,0001193125-26-127237,d121727ddef14a.htm,https://www.sec.gov/Archives/edgar/data/92380/000119312526127237/d121727ddef14a.htm,evidence/accession_materials/southwest_airlines_92380_000119312526127237/d121727ddef14a.htm,f9fe5ceb34c9f1620007de3eecbf97a58c808241c1c4c769af3b2060a72723c9,ecd,NonPeoNeoAvgCompActuallyPaidAmt,iso4217:USD,P01_01_2025To12_31_2025,,2025-01-01,2025-12-31,8507752
Southwest Airlines,92380,0001193125-26-127237,d121727ddef14a.htm,https://www.sec.gov/Archives/edgar/data/92380/000119312526127237/d121727ddef14a.htm,evidence/accession_materials/southwest_airlines_92380_000119312526127237/d121727ddef14a.htm,f9fe5ceb34c9f1620007de3eecbf97a58c808241c1c4c769af3b2060a72723c9,ecd,TotalShareholderRtnAmt,iso4217:USD,P01_01_2025To12_31_2025,,2025-01-01,2025-12-31,95
Southwest Airlines,92380,0001193125-26-127237,d121727ddef14a.htm,https://www.sec.gov/Archives/edgar/data/92380/000119312526127237/d121727ddef14a.htm,evidence/accession_materials/southwest_airlines_92380_000119312526127237/d121727ddef14a.htm,f9fe5ceb34c9f1620007de3eecbf97a58c808241c1c4c769af3b2060a72723c9,ecd,PeerGroupTotalShareholderRtnAmt,iso4217:USD,P01_01_2025To12_31_2025,,2025-01-01,2025-12-31,88
Southwest Airlines,92380,0001193125-26-127237,d121727ddef14a.htm,https://www.sec.gov/Archives/edgar/data/92380/000119312526127237/d121727ddef14a.htm,evidence/accession_materials/southwest_airlines_92380_000119312526127237/d121727ddef14a.htm,f9fe5ceb34c9f1620007de3eecbf97a58c808241c1c4c769af3b2060a72723c9,ecd,CoSelectedMeasureAmt,xbrli:pure,P01_01_2025To12_31_2025,,2025-01-01,2025-12-31,0.041
Southwest Airlines,92380,0001193125-26-127237,d121727ddef14a.htm,https://www.sec.gov/Archives/edgar/data/92380/000119312526127237/d121727ddef14a.htm,evidence/accession_materials/southwest_airlines_92380_000119312526127237/d121727ddef14a.htm,f9fe5ceb34c9f1620007de3eecbf97a58c808241c1c4c769af3b2060a72723c9,ecd,PeoTotalCompAmt,iso4217:USD,P01_01_2024To12_31_2024_GaryCKellyMemberecdIndividualAxis,ecd:IndividualAxis=luv:GaryC.KellyMember,2024-01-01,2024-12-31,—
