company,cik,entity_role,form,accession,filingDate,reportDate,primaryDocument,isXBRL,isInlineXBRL,source_role,source_url
Marriott International,1048286,primary,10-K,0001048286-26-000007,2026-02-10,2025-12-31,mar-20251231.htm,1,1,target_10k,https://www.sec.gov/Archives/edgar/data/1048286/000104828626000007/mar-20251231.htm
Marriott International,1048286,primary,10-K,0001628280-25-004818,2025-02-11,2024-12-31,mar-20241231.htm,1,1,prior_10k,https://www.sec.gov/Archives/edgar/data/1048286/000162828025004818/mar-20241231.htm
Marriott International,1048286,primary,DEF 14A,0001140361-26-011590,2026-03-27,2026-05-08,ny20062722x771_def14a.htm,1,1,latest_def14a,https://www.sec.gov/Archives/edgar/data/1048286/000114036126011590/ny20062722x771_def14a.htm
Marriott International,1048286,primary,8-K,0001048286-25-000011,2025-11-04,2025-11-04,mar-20251104.htm,1,1,fy_8k,https://www.sec.gov/Archives/edgar/data/1048286/000104828625000011/mar-20251104.htm
Marriott International,1048286,primary,8-K,0001193125-25-184082,2025-08-20,2025-08-18,d52476d8k.htm,1,1,fy_8k,https://www.sec.gov/Archives/edgar/data/1048286/000119312525184082/d52476d8k.htm
Marriott International,1048286,primary,8-K,0001628280-25-037592,2025-08-05,2025-08-05,mar-20250805.htm,1,1,fy_8k,https://www.sec.gov/Archives/edgar/data/1048286/000162828025037592/mar-20250805.htm
Marriott International,1048286,primary,8-K,0001193125-25-158742,2025-07-14,2025-07-11,d858138d8k.htm,1,1,fy_8k,https://www.sec.gov/Archives/edgar/data/1048286/000119312525158742/d858138d8k.htm
Marriott International,1048286,primary,8-K/A,0001193125-25-118861,2025-05-13,2025-01-17,d935320d8ka.htm,1,1,fy_8k,https://www.sec.gov/Archives/edgar/data/1048286/000119312525118861/d935320d8ka.htm
Marriott International,1048286,primary,8-K,0001193125-25-118853,2025-05-13,2025-05-09,d888404d8k.htm,1,1,fy_8k,https://www.sec.gov/Archives/edgar/data/1048286/000119312525118853/d888404d8k.htm
Marriott International,1048286,primary,8-K,0001628280-25-022390,2025-05-06,2025-05-06,mar-20250506.htm,1,1,fy_8k,https://www.sec.gov/Archives/edgar/data/1048286/000162828025022390/mar-20250506.htm
Marriott International,1048286,primary,8-K,0001193125-25-036732,2025-02-26,2025-02-24,d927802d8k.htm,1,1,fy_8k,https://www.sec.gov/Archives/edgar/data/1048286/000119312525036732/d927802d8k.htm
Marriott International,1048286,primary,8-K,0001628280-25-004772,2025-02-11,2025-02-11,mar-20250211.htm,1,1,fy_8k,https://www.sec.gov/Archives/edgar/data/1048286/000162828025004772/mar-20250211.htm
Marriott International,1048286,primary,8-K,0001193125-25-009110,2025-01-21,2025-01-17,d890503d8k.htm,1,1,fy_8k,https://www.sec.gov/Archives/edgar/data/1048286/000119312525009110/d890503d8k.htm
Southwest Airlines,92380,primary,10-K/A,0000092380-26-000006,2026-02-06,2025-12-31,luv-20251231.htm,1,1,target_10k,https://www.sec.gov/Archives/edgar/data/92380/000009238026000006/luv-20251231.htm
Southwest Airlines,92380,primary,10-K,0000092380-25-000024,2025-02-07,2024-12-31,luv-20241231.htm,1,1,prior_10k,https://www.sec.gov/Archives/edgar/data/92380/000009238025000024/luv-20241231.htm
Southwest Airlines,92380,primary,DEF 14A,0001193125-26-127237,2026-03-27,2026-05-07,d121727ddef14a.htm,1,1,latest_def14a,https://www.sec.gov/Archives/edgar/data/92380/000119312526127237/d121727ddef14a.htm
Southwest Airlines,92380,primary,8-K,0000092380-25-000144,2025-12-05,2025-12-05,luv-20251205.htm,1,1,fy_8k,https://www.sec.gov/Archives/edgar/data/92380/000009238025000144/luv-20251205.htm
Southwest Airlines,92380,primary,8-K,0001193125-25-262544,2025-11-03,2025-11-03,d83756d8k.htm,1,1,fy_8k,https://www.sec.gov/Archives/edgar/data/92380/000119312525262544/d83756d8k.htm
Southwest Airlines,92380,primary,8-K,0000092380-25-000138,2025-10-22,2025-10-22,luv-20251022.htm,1,1,fy_8k,https://www.sec.gov/Archives/edgar/data/92380/000009238025000138/luv-20251022.htm
Southwest Airlines,92380,primary,8-K,0000092380-25-000131,2025-07-23,2025-07-23,luv-20250723.htm,1,1,fy_8k,https://www.sec.gov/Archives/edgar/data/92380/000009238025000131/luv-20250723.htm
Southwest Airlines,92380,primary,8-K,0000092380-25-000119,2025-05-19,2025-05-16,luv-20250516.htm,1,1,fy_8k,https://www.sec.gov/Archives/edgar/data/92380/000009238025000119/luv-20250516.htm
Southwest Airlines,92380,primary,8-K,0000092380-25-000117,2025-05-19,2025-05-14,luv-20250514.htm,1,1,fy_8k,https://www.sec.gov/Archives/edgar/data/92380/000009238025000117/luv-20250514.htm
Southwest Airlines,92380,primary,8-K,0000092380-25-000079,2025-04-23,2025-04-23,luv-20250423.htm,1,1,fy_8k,https://www.sec.gov/Archives/edgar/data/92380/000009238025000079/luv-20250423.htm
Southwest Airlines,92380,primary,8-K,0000092380-25-000075,2025-03-31,2025-03-28,luv-20250328.htm,1,1,fy_8k,https://www.sec.gov/Archives/edgar/data/92380/000009238025000075/luv-20250328.htm
Southwest Airlines,92380,primary,8-K,0000092380-25-000059,2025-03-11,2025-03-11,luv-20250311.htm,1,1,fy_8k,https://www.sec.gov/Archives/edgar/data/92380/000009238025000059/luv-20250311.htm
Southwest Airlines,92380,primary,8-K,0001193125-25-029062,2025-02-19,2025-02-18,d919314d8k.htm,1,1,fy_8k,https://www.sec.gov/Archives/edgar/data/92380/000119312525029062/d919314d8k.htm
Southwest Airlines,92380,primary,8-K,0001193125-25-028035,2025-02-18,2025-02-17,d907526d8k.htm,1,1,fy_8k,https://www.sec.gov/Archives/edgar/data/92380/000119312525028035/d907526d8k.htm
Southwest Airlines,92380,primary,8-K,0001193125-25-023650,2025-02-10,2025-02-04,d906464d8k.htm,1,1,fy_8k,https://www.sec.gov/Archives/edgar/data/92380/000119312525023650/d906464d8k.htm
Southwest Airlines,92380,primary,8-K,0000092380-25-000025,2025-02-07,2025-02-04,luv-20250204.htm,1,1,fy_8k,https://www.sec.gov/Archives/edgar/data/92380/000009238025000025/luv-20250204.htm
Southwest Airlines,92380,primary,8-K,0000092380-25-000007,2025-01-30,2025-01-30,luv-20250130.htm,1,1,fy_8k,https://www.sec.gov/Archives/edgar/data/92380/000009238025000007/luv-20250130.htm
Southwest Airlines,92380,primary,8-K,0001193125-25-013376,2025-01-27,2025-01-27,d897449d8k.htm,1,1,fy_8k,https://www.sec.gov/Archives/edgar/data/92380/000119312525013376/d897449d8k.htm
Southwest Airlines,92380,primary,8-K,0001193125-25-004026,2025-01-10,2025-01-07,d194515d8k.htm,1,1,fy_8k,https://www.sec.gov/Archives/edgar/data/92380/000119312525004026/d194515d8k.htm
Southwest Airlines,92380,primary,8-K,0000092380-25-000003,2025-01-07,2025-01-07,luv-20250107.htm,1,1,fy_8k,https://www.sec.gov/Archives/edgar/data/92380/000009238025000003/luv-20250107.htm
Ford Motor Company,37996,primary,10-K,0000037996-26-000015,2026-02-11,2025-12-31,f-20251231.htm,1,1,target_10k,https://www.sec.gov/Archives/edgar/data/37996/000003799626000015/f-20251231.htm
Ford Motor Company,37996,primary,10-K,0000037996-25-000013,2025-02-06,2024-12-31,f-20241231.htm,1,1,prior_10k,https://www.sec.gov/Archives/edgar/data/37996/000003799625000013/f-20241231.htm
Ford Motor Company,37996,primary,DEF 14A,0001552781-26-000164,2026-03-27,2026-05-14,e26003_f-def14a.htm,1,1,latest_def14a,https://www.sec.gov/Archives/edgar/data/37996/000155278126000164/e26003_f-def14a.htm
Ford Motor Company,37996,primary,8-K,0000037996-25-000238,2025-12-15,2025-12-09,f-20251209.htm,1,1,fy_8k,https://www.sec.gov/Archives/edgar/data/37996/000003799625000238/f-20251209.htm
Ford Motor Company,37996,primary,8-K,0000037996-25-000236,2025-12-12,2025-12-11,f-20251211.htm,1,1,fy_8k,https://www.sec.gov/Archives/edgar/data/37996/000003799625000236/f-20251211.htm
Ford Motor Company,37996,primary,8-K,0000037996-25-000210,2025-11-21,2025-11-21,f-20251121.htm,1,1,fy_8k,https://www.sec.gov/Archives/edgar/data/37996/000003799625000210/f-20251121.htm
Ford Motor Company,37996,primary,8-K,0000037996-25-000185,2025-10-23,2025-10-23,f-20251023.htm,1,1,fy_8k,https://www.sec.gov/Archives/edgar/data/37996/000003799625000185/f-20251023.htm
Ford Motor Company,37996,primary,8-K,0000037996-25-000175,2025-10-01,2025-10-01,f-20251001.htm,1,1,fy_8k,https://www.sec.gov/Archives/edgar/data/37996/000003799625000175/f-20251001.htm
