audit_id,source_bucket,company,metric_id,metric_name,value,unit,status,source_class,period_start,period_end,accession,concept_or_section,context_or_dimension,evidence_value,evidence_unit,evidence_quote,audit_verdict,audit_notes
AUDIT_01,STD_XBRL,Marriott International,B01,Revenue,26186000000,USD,OK,STD_XBRL,2025-01-01,2025-12-31,0001048286-26-000007,Revenues,companyfacts:USD:CY2025,26186000000,USD,Revenues=26186000000 unit=USD accn=0001048286-26-000007 filed=2026-02-10,PASS,Candidate Result and all evidence rows are bound.
AUDIT_02,DERIVED,Marriott International,B02,Revenue YoY growth,0.04326693227091633466135458167,ratio,OK,DERIVED,2025-01-01,2025-12-31,0001048286-26-000007;0001628280-25-004818,Revenues+Revenues,companyfacts:USD:CY2025;companyfacts:USD:,0.04326693227091633466135458167,ratio,(Revenue_t - Revenue_t-1) / Revenue_t-1; components=Revenues=26186000000;Revenues=25100000000,PASS,Candidate Result and all evidence rows are bound.
AUDIT_03,DERIVED,Marriott International,B03,EBITDA margin,0.1756281982738868097456656229,ratio,OK,DERIVED,2025-01-01,2025-12-31,0001048286-26-000007;0001048286-26-000007;0001048286-26-000007;0001048286-26-000007,OperatingIncomeLoss+Depreciation+AmortizationOfIntangibleAssets+Revenues,companyfacts:USD:CY2025;companyfacts:USD:CY2025;companyfacts:USD:CY2025;companyfacts:USD:CY2025,0.1756281982738868097456656229,ratio,(Operating income + D&A) / revenue; components=OperatingIncomeLoss=4141000000;Depreciation=145000000;AmortizationOfIntangibleAssets=313000000;Revenues=26186000000,PASS,Candidate Result and all evidence rows are bound.
AUDIT_04,STD_XBRL,Marriott International,B04,Net income,2601000000,USD,OK,STD_XBRL,2025-01-01,2025-12-31,0001048286-26-000007,NetIncomeLoss,companyfacts:USD:CY2025,2601000000,USD,us-gaap:NetIncomeLoss unit=USD accn=0001048286-26-000007 filed=2026-02-10,PASS,Candidate Result and all evidence rows are bound.
AUDIT_05,DERIVED,Marriott International,B05,Free cash flow,2608000000,USD,OK,DERIVED,2025-01-01,2025-12-31,0001048286-26-000007;0001048286-26-000007,NetCashProvidedByUsedInOperatingActivities+PaymentsToAcquireProductiveAssets,companyfacts:USD:CY2025;companyfacts:USD:CY2025,2608000000,USD,operating cash flow - capital expenditures; components=NetCashProvidedByUsedInOperatingActivities=3212000000;PaymentsToAcquireProductiveAssets=604000000,PASS,Candidate Result and all evidence rows are bound.
AUDIT_06,DERIVED,Marriott International,B07,Interest coverage ratio,5.118665018541409147095179234,ratio,OK,DERIVED,2025-01-01,2025-12-31,0001048286-26-000007;0001048286-26-000007,OperatingIncomeLoss+InterestExpenseNonoperating,companyfacts:USD:CY2025;companyfacts:USD:CY2025,5.118665018541409147095179234,ratio,operating income / interest expense; components=OperatingIncomeLoss=4141000000;InterestExpenseNonoperating=809000000,PASS,Candidate Result and all evidence rows are bound.
AUDIT_07,DERIVED,Marriott International,B08,Current ratio,0.4267682781614670159561800429,ratio,OK,DERIVED,2025-12-31,2025-12-31,0001048286-26-000007;0001048286-26-000007,AssetsCurrent+LiabilitiesCurrent,companyfacts:USD:;companyfacts:USD:,0.4267682781614670159561800429,ratio,current assets / current liabilities; components=AssetsCurrent=3584000000;LiabilitiesCurrent=8398000000,PASS,Candidate Result and all evidence rows are bound.
AUDIT_08,STD_XBRL,Marriott International,B09,Cash reserves,358000000,USD,OK,STD_XBRL,2025-12-31,2025-12-31,0001048286-26-000007,CashAndCashEquivalentsAtCarryingValue,companyfacts:USD:,358000000,USD,us-gaap:CashAndCashEquivalentsAtCarryingValue unit=USD accn=0001048286-26-000007 filed=2026-02-10,PASS,Candidate Result and all evidence rows are bound.
AUDIT_09,MDA,Marriott International,B10,Occupancy rate,69.3,percent,MDA_OK,MDA,2025-01-01,2025-12-31,0001048286-26-000007,MD&A occupancy,MD&A occupancy,69.3,percent,MD&A occupancy=69.3 unit=percent accn=0001048286-26-000007 filed=,PASS,Candidate Result and all evidence rows are bound.
AUDIT_10,MDA,Marriott International,B11,RevPAR,128.8,USD,MDA_OK,MDA,2025-01-01,2025-12-31,0001048286-26-000007,MD&A RevPAR,MD&A RevPAR,128.8,USD,MD&A RevPAR=128.8 unit=USD accn=0001048286-26-000007 filed=,PASS,Candidate Result and all evidence rows are bound.
