company,cik,signal_id,signal_name,value,status,source_url,local_path,accession,concept_or_section,evidence_quote,notes
Marriott International,1048286,D01,Risk factors summary,,TEXT_QUAL,https://www.sec.gov/Archives/edgar/data/1048286/000104828626000007/mar-20251231.htm,/Users/lyuhongwang/Documents/SEC_metrics/evidence/accession_materials/marriott_international_1048286_000104828626000007/mar-20251231.htm,0001048286-26-000007,Item 1A Risk Factors,"uant to §240.10D-1(b). o Indicate by check mark whether the registrant is a shell company (as defined in Rule 12b-2 of the Act). Yes ☐ No ☒ The aggregate market value of shares of common stock held by non-affiliates at June 30, 2025, was $ 61,232,412,426 . There were 264,984,554 shares of Class A Common Stock, par value $0.01 per share, outstanding at January 31, 2026. DOCUMENTS INCORPORATED BY REFERENCE Portions of the Proxy Statement prepared for the 2026 Annual Meeting of Stockholders are incorporated by reference into Part III of this report. Table of Contents MARRIOTT INTERNATIONAL, INC. FORM 10-K TABLE OF CONTENTS FISCAL YEAR ENDED DECEMBER 31, 2025 Page No. Part I. Item 1. Business 4 Item 1A. Risk Factors 10 Item 1B. Unresolved Staff Comments 19 Item 1C. Cybersecurity 19 Item 2. Properties 20 Item 3. Legal Proceedings 20 Item 4. Mine Safety Disclosures 21 Part II. Item 5. Market for Registrant’s Common Equity, Related Stockholder Matters, and Issuer Purchases of Equity Securities 21 Item 6. Reserved 21 Item 7. Management’s Discussion and Analysis of Financial Condition and Results of Operations 22 Item 7A. Quantitative and Qualitative Disclosures About Market Risk 29 Item 8. Financial Statements 30 Item 9. Changes in and Disagreements with Accountants on Accounting and Financial Disclosure 60 Item 9A. Controls and Procedures 60 Item 9B. Other Information 61 Item 9C. Disclosure Regarding Fore",Risk factor heading or theme evidence.
Marriott International,1048286,D02,Litigation disclosures,,TEXT_QUAL,https://www.sec.gov/Archives/edgar/data/1048286/000104828626000007/mar-20251231.htm,/Users/lyuhongwang/Documents/SEC_metrics/evidence/accession_materials/marriott_international_1048286_000104828626000007/mar-20251231.htm,0001048286-26-000007,Item 3 / litigation,"2b-2 of the Act). Yes ☐ No ☒ The aggregate market value of shares of common stock held by non-affiliates at June 30, 2025, was $ 61,232,412,426 . There were 264,984,554 shares of Class A Common Stock, par value $0.01 per share, outstanding at January 31, 2026. DOCUMENTS INCORPORATED BY REFERENCE Portions of the Proxy Statement prepared for the 2026 Annual Meeting of Stockholders are incorporated by reference into Part III of this report. Table of Contents MARRIOTT INTERNATIONAL, INC. FORM 10-K TABLE OF CONTENTS FISCAL YEAR ENDED DECEMBER 31, 2025 Page No. Part I. Item 1. Business 4 Item 1A. Risk Factors 10 Item 1B. Unresolved Staff Comments 19 Item 1C. Cybersecurity 19 Item 2. Properties 20 Item 3. Legal Proceedings 20 Item 4. Mine Safety Disclosures 21 Part II. Item 5. Market for Registrant’s Common Equity, Related Stockholder Matters, and Issuer Purchases of Equity Securities 21 Item 6. Reserved 21 Item 7. Management’s Discussion and Analysis of Financial Condition and Results of Operations 22 Item 7A. Quantitative and Qualitative Disclosures About Market Risk 29 Item 8. Financial Statements 30 Item 9. Changes in and Disagreements with Accountants on Accounting and Financial Disclosure 60 Item 9A. Controls and Procedures 60 Item 9B. Other Information 61 Item 9C. Disclosure Regarding Foreign Jurisdictions that Prevent Inspections 61 Part III. Item 10. Directors, Executive Officers, and Corporate Gover",Legal proceedings or litigation text evidence.
Marriott International,1048286,D03,Regulatory investigations,,TEXT_QUAL,https://www.sec.gov/Archives/edgar/data/1048286/000104828626000007/mar-20251231.htm,/Users/lyuhongwang/Documents/SEC_metrics/evidence/accession_materials/marriott_international_1048286_000104828626000007/mar-20251231.htm,0001048286-26-000007,Regulatory investigation keywords,8286 country:CA 2025-01-01 2025-12-31 0001048286 country:CH 2025-01-01 2025-12-31 0001048286 us-gaap:ForeignTaxJurisdictionOtherMember 2025-01-01 2025-12-31 0001048286 srt:MinimumMember 2025-01-01 2025-12-31 0001048286 srt:MaximumMember 2025-01-01 2025-12-31 0001048286 us-gaap:GuaranteeOfIndebtednessOfOthersMember 2025-12-31 0001048286 mar:GuaranteeOperatingProfitMember 2025-12-31 0001048286 us-gaap:GuaranteeTypeOtherMember 2025-12-31 0001048286 us-gaap:OtherCurrentLiabilitiesMember 2025-12-31 0001048286 us-gaap:OtherNoncurrentLiabilitiesMember 2025-12-31 0001048286 mar:NotYetInEffectConditionMember mar:GuaranteeOperatingProfitMember 2025-12-31 0001048286 mar:ClassActionLawsuitsRelatedToDataSecurityIncidentMember 2018-11-30 2018-11-30 0001048286 srt:MinimumMember 2025-12-31 0001048286 mar:SeriesPSeniorNotesMember 2025-12-31 0001048286 mar:SeriesPSeniorNotesMember 2024-12-31 0001048286 mar:SeriesRNotesMember 2025-12-31 0001048286 mar:SeriesRNotesMember 2024-12-31 0001048286 mar:SeriesVNotesMember 2025-12-31 0001048286 mar:SeriesVNotesMember 2024-12-31 0001048286 mar:SeriesWNotesMember 2025-12-31 0001048286 mar:SeriesWNotesMember 2024-12-31 0001048286 mar:SeriesXNotesMember 2025-12-31 0001048286 mar:SeriesXNotesMember 2024-12-31 0001048286 mar:SeriesAANotesMember 2025-12-31 0001048286 mar:SeriesAANotesMember 2024-12-31 0001048286 mar:SeriesEENotesMember 2025-12-31 0001048286 mar:Ser,Keyword scan across risk/legal text.
Marriott International,1048286,D04,Going concern statements,,TEXT_QUAL,https://www.sec.gov/Archives/edgar/data/1048286/000104828626000007/mar-20251231.htm,/Users/lyuhongwang/Documents/SEC_metrics/evidence/accession_materials/marriott_international_1048286_000104828626000007/mar-20251231.htm,0001048286-26-000007,Going concern,未披露持续经营疑虑,No going-concern doubt phrase found in 10-K text.
Southwest Airlines,92380,D01,Risk factors summary,,NOT_EXTRACTED,https://www.sec.gov/Archives/edgar/data/92380/000009238026000006/luv-20251231.htm,/Users/lyuhongwang/Documents/SEC_metrics/evidence/accession_materials/southwest_airlines_92380_000009238026000006/luv-20251231.htm,0000092380-26-000006,Item 1A Risk Factors,,Risk factor heading or theme evidence.
Southwest Airlines,92380,D02,Litigation disclosures,,NOT_AVAILABLE_SEC,https://www.sec.gov/Archives/edgar/data/92380/000009238026000006/luv-20251231.htm,/Users/lyuhongwang/Documents/SEC_metrics/evidence/accession_materials/southwest_airlines_92380_000009238026000006/luv-20251231.htm,0000092380-26-000006,Item 3 / litigation,,Legal proceedings or litigation text evidence.
Southwest Airlines,92380,D03,Regulatory investigations,,TEXT_QUAL,https://www.sec.gov/Archives/edgar/data/92380/000009238026000006/luv-20251231.htm,/Users/lyuhongwang/Documents/SEC_metrics/evidence/accession_materials/southwest_airlines_92380_000009238026000006/luv-20251231.htm,0000092380-26-000006,Regulatory investigation keywords,"luv-20251231 0000092380 2025 FY false iso4217:USD xbrli:shares 0000092380 2025-01-01 2025-12-31 0000092380 2025-06-30 0000092380 2026-02-03 UNITED STATES SECURITIES AND EXCHANGE COMMISSION Washington, D.C. 20549 FORM 10-K/A Amendment No. 1 (Mark One) ☒ ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the fiscal year ended December 31 , 2025 or ☐ TRANSITION REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the transition period from ________ to ________ Commission File No. 1-7259 SOUTHWEST AIRLINES CO. (Exact name of registrant as specified in its charter) Texas 74-1563240 (State or other jurisdiction of (IRS Employer incorporation or organization) Identification No.) P.O. Box 36611 Dallas, Texas 75235-1611 (Address of principal executive offices) (Zip Code) Registrant's tele",Keyword scan across risk/legal text.
Southwest Airlines,92380,D04,Going concern statements,,TEXT_QUAL,https://www.sec.gov/Archives/edgar/data/92380/000009238026000006/luv-20251231.htm,/Users/lyuhongwang/Documents/SEC_metrics/evidence/accession_materials/southwest_airlines_92380_000009238026000006/luv-20251231.htm,0000092380-26-000006,Going concern,未披露持续经营疑虑,No going-concern doubt phrase found in 10-K text.
Ford Motor Company,37996,D01,Risk factors summary,,TEXT_QUAL,https://www.sec.gov/Archives/edgar/data/37996/000003799626000015/f-20251231.htm,/Users/lyuhongwang/Documents/SEC_metrics/evidence/accession_materials/ford_motor_company_37996_000003799626000015/f-20251231.htm,0000037996-26-000015,Item 1A Risk Factors,"e ($13.80 per share), the aggregate market value of such Common Stock was $54,076,999,456. DOCUMENTS INCORPORATED BY REFERENCE Document Where Incorporated Proxy Statement* Part III (Items 10, 11, 12, 13, and 14) __________ * As stated under various Items of this Report, only certain specified portions of such document are incorporated by reference in this Report. Exhibit Index begins on page 101 FORD MOTOR COMPANY ANNUAL REPORT ON FORM 10-K For the Year Ended December 31, 2025 Table of Contents Page Part I Item 1 Business 1 Overview 2 Ford Blue, Ford Model e, and Ford Pro Segment 2 Ford Credit Segment 6 Corporate Other 7 Interest on Debt 7 Governmental Standards 7 Human Capital Resources 14 Item 1A Risk Factors 18 Item 1B Unresolved Staff Comments 33 Item 1C Cybersecurity 33 Item 2 Properties 35 Item 3 Legal Proceedings 36 Item 4 Mine Safety Disclosures 38 Item 4A Information about our Executive Officers 39 Part II Item 5 Market for Registrant’s Common Equity, Related Stockholder Matters and Issuer Purchases of Equity Securities 41 Item 6 [Reserved] 42 Item 7 Management’s Discussion and Analysis of Financial Condition and Results of Operations 43 Key Trends and Economic Factors Affecting Ford and the Automotive Industry 43 Results of Operations - 2025 47 Ford Blue Segment 49 Ford Model e Segment 50 Ford Pro Segment 50 Ford Credit Segment 52 Corporate Other 55 Interest on Debt 55 Taxes 55 Results o",Risk factor heading or theme evidence.
Ford Motor Company,37996,D02,Litigation disclosures,,TEXT_QUAL,https://www.sec.gov/Archives/edgar/data/37996/000003799626000015/f-20251231.htm,/Users/lyuhongwang/Documents/SEC_metrics/evidence/accession_materials/ford_motor_company_37996_000003799626000015/f-20251231.htm,0000037996-26-000015,Item 3 / litigation,"ORATED BY REFERENCE Document Where Incorporated Proxy Statement* Part III (Items 10, 11, 12, 13, and 14) __________ * As stated under various Items of this Report, only certain specified portions of such document are incorporated by reference in this Report. Exhibit Index begins on page 101 FORD MOTOR COMPANY ANNUAL REPORT ON FORM 10-K For the Year Ended December 31, 2025 Table of Contents Page Part I Item 1 Business 1 Overview 2 Ford Blue, Ford Model e, and Ford Pro Segment 2 Ford Credit Segment 6 Corporate Other 7 Interest on Debt 7 Governmental Standards 7 Human Capital Resources 14 Item 1A Risk Factors 18 Item 1B Unresolved Staff Comments 33 Item 1C Cybersecurity 33 Item 2 Properties 35 Item 3 Legal Proceedings 36 Item 4 Mine Safety Disclosures 38 Item 4A Information about our Executive Officers 39 Part II Item 5 Market for Registrant’s Common Equity, Related Stockholder Matters and Issuer Purchases of Equity Securities 41 Item 6 [Reserved] 42 Item 7 Management’s Discussion and Analysis of Financial Condition and Results of Operations 43 Key Trends and Economic Factors Affecting Ford and the Automotive Industry 43 Results of Operations - 2025 47 Ford Blue Segment 49 Ford Model e Segment 50 Ford Pro Segment 50 Ford Credit Segment 52 Corporate Other 55 Interest on Debt 55 Taxes 55 Results of Operations - 2024 56 Ford Blue Segment 58 Ford Model e Segment 59 Ford Pro Segment 59 Ford Credit Segment 60",Legal proceedings or litigation text evidence.
