company,metric_id,stub_period_start,stub_period_end,value,unit,concept_or_section,accession,notes
Paramount Skydance / Paramount Global,B01,2025-08-08,2025-12-31,12269000000,USD,RevenueFromContractWithCustomerExcludingAssessedTax,0002041610-26-000011,successor stub period 2025-08-08 to 2025-12-31; annual metric not comparable.
Paramount Skydance / Paramount Global,B03,2025-08-08,2025-12-31,-95000000,USD,OperatingIncomeLoss,0002041610-26-000011,successor stub period 2025-08-08 to 2025-12-31; annual metric not comparable.
Paramount Skydance / Paramount Global,B03,2025-08-08,2025-12-31,590000000,USD,DepreciationAndAmortization,0002041610-26-000011,successor stub period 2025-08-08 to 2025-12-31; annual metric not comparable.
Paramount Skydance / Paramount Global,B03,2025-08-08,2025-12-31,97000000,USD,Depreciation,0002041610-26-000011,successor stub period 2025-08-08 to 2025-12-31; annual metric not comparable.
Paramount Skydance / Paramount Global,B03,2025-08-08,2025-12-31,493000000,USD,AmortizationOfIntangibleAssets,0002041610-26-000011,successor stub period 2025-08-08 to 2025-12-31; annual metric not comparable.
Paramount Skydance / Paramount Global,B04,2025-08-08,2025-12-31,-586000000,USD,NetIncomeLoss,0002041610-26-000011,successor stub period 2025-08-08 to 2025-12-31; annual metric not comparable.
Paramount Skydance / Paramount Global,B04,2025-08-08,2025-12-31,-540000000,USD,ProfitLoss,0002041610-26-000011,successor stub period 2025-08-08 to 2025-12-31; annual metric not comparable.
Paramount Skydance / Paramount Global,B05,2025-08-08,2025-12-31,485000000,USD,NetCashProvidedByUsedInOperatingActivities,0002041610-26-000011,successor stub period 2025-08-08 to 2025-12-31; annual metric not comparable.
Paramount Skydance / Paramount Global,B05,2025-08-08,2025-12-31,162000000,USD,PaymentsToAcquirePropertyPlantAndEquipment,0002041610-26-000011,successor stub period 2025-08-08 to 2025-12-31; annual metric not comparable.
Paramount Skydance / Paramount Global,B07,2025-08-08,2025-12-31,-95000000,USD,OperatingIncomeLoss,0002041610-26-000011,successor stub period 2025-08-08 to 2025-12-31; annual metric not comparable.
Paramount Skydance / Paramount Global,B07,2025-08-08,2025-12-31,366000000,USD,InterestExpenseNonoperating,0002041610-26-000011,successor stub period 2025-08-08 to 2025-12-31; annual metric not comparable.
